2020-12-31 12:22:47
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.82, 1.44, 1.25
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,140.144,163.902,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,138.792,162.479,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,5.16181,5.72514,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,299.728,322.94,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,299.314,322.483,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,2.06084,2.17154,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,910.3,933.193,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,909.21,931.998,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,3.55274,3.57198,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,3309.31,3331.77,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,3307.25,3329.72,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,8.6965,8.56157,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,12988.7,13015,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,12994.3,13019.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,16.5995,16.6001,ns,,,,,
