2020-12-31 13:00:57
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.05, 1.18, 1.25
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,270559,68492.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,266096,66590.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,9518.72,3485.09,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,267428,66655.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,265020,66354.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,7651.09,1385.25,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,269066,66739.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,267316,67073.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,6846.83,1762.42,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,268946,67736.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,269785,66870,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,6272.12,2104.78,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,265048,67548.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,263977,67369.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,3514.4,785.903,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,266714,66622.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,262321,66568.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,8855.7,893.085,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,264642,66985.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,263995,66741.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,3773.84,1070.53,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,265151,68022.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,266036,67476.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,3394.92,1841.37,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,293695,68547.3,ns,,,,,
