2020-12-31 15:51:35
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.25, 1.18, 1.24
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,238050,63735.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,234260,62320.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,9567.04,3548.57,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,228513,61031.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,229300,60734.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,3480.37,1265.31,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,227601,60428.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,226292,60432.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,3894.52,1237.86,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,232601,60379.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,233729,59517,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,2941.6,1865.25,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,230081,60151.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,229487,59996.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,6218.57,715.121,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,226314,59502.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,226409,59496.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,3728.3,645.686,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,225934,59829.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,226734,59532.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,2754.78,837.33,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,235224,62341.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,233606,62227.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,5509.41,1349.26,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,252636,64578.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,252128,65091.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,3326.33,1284.73,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,343419,69254.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,346658,69347,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,6046.63,2332.81,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,739727,113698,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,739016,112107,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,7460.69,5223.15,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,2.23138e+06,294540,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,2.2696e+06,284580,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,157518,38667.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,5.59901e+06,531997,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,5.76069e+06,549956,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,367672,61612.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,331519,82672,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,330602,83127.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,12423.4,2137.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_mean",5,331180,82073.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_median",5,329366,81607,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_stddev",5,8380.06,1758.95,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_mean",5,323052,82978.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_median",5,320386,82957,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_stddev",5,6062.11,2332.53,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_mean",5,327283,81683.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_median",5,323919,83193.3,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_stddev",5,7198.4,2296.72,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_mean",5,329846,81833.2,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_median",5,331306,82180,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_stddev",5,10772.2,2504.29,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_mean",5,324226,83466.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_median",5,323428,83886.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_stddev",5,4792.2,2428.59,ns,,,,,
