2021-01-01 09:50:17
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.57, 1.47, 1.47
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_mean",5,53.5833,77.1199,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_median",5,52.9778,76.3215,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1/manual_time_stddev",5,1.50377,2.04194,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_mean",5,88.4191,111.595,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_median",5,88.2888,111.455,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4/manual_time_stddev",5,0.449368,0.534155,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_mean",5,228.963,252.102,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_median",5,228.403,251.586,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16/manual_time_stddev",5,1.30892,1.35766,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_mean",5,763.652,786.777,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_median",5,760.791,783.817,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/64/manual_time_stddev",5,5.11103,5.19984,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_mean",5,2925.56,2948.76,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_median",5,2911.41,2934.34,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/256/manual_time_stddev",5,27.3637,27.7123,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_mean",5,11490.9,11521.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_median",5,11567.9,11599,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1024/manual_time_stddev",5,140.816,140.623,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_mean",5,45270.9,45310.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_median",5,45190.8,45231.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/4096/manual_time_stddev",5,288.871,288.605,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_mean",5,182476,182517,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_median",5,181977,182003,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/16384/manual_time_stddev",5,2044.02,2044.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_mean",5,727197,727210,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_median",5,727986,728014,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/65536/manual_time_stddev",5,5296.41,5309.71,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/262144/manual_time_mean",5,2.89279e+06,2.89279e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/262144/manual_time_median",5,2.88564e+06,2.88566e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/262144/manual_time_stddev",5,19708.4,19700.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1048576/manual_time_mean",5,1.15803e+07,1.15798e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1048576/manual_time_median",5,1.15566e+07,1.15549e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_real/1048576/manual_time_stddev",5,71199.7,70891.2,ns,,,,,
