2020-12-31 18:07:38
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.24, 1.29, 1.48
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,230333,52692.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,227925,50511,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,13604.1,5206.28,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,217160,50363.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,216383,50244.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,2026.67,822.59,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,215290,49895,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,216255,49696.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,2021.64,1100.28,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,217835,49613.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,215993,49159.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,3815.83,1409.37,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,227416,51652.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,230585,50208.3,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,7069.61,3352.52,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,219977,51060.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,220195,51057.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,509.451,445.638,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,233188,52543.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,231294,52421.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,6327.67,832.79,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,247194,59093.5,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,247468,59339.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4207.14,774.81,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,349347,78756.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,347220,80133.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,10980.3,4191.1,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,685138,124085,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,692452,122217,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,19076.7,4796.75,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,2.66086e+06,834262,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,2.66982e+06,833531,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,24172.8,18087.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.61777e+07,3.24012e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.6089e+07,3.2343e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,185047,20318.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,4.64885e+07,1.17404e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,4.6744e+07,1.16811e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,460803,192782,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_mean",5,518346,140039,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_median",5,516068,139572,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_stddev",5,12633.1,2399.37,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_mean",5,516282,137807,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_median",5,511617,139038,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_stddev",5,8697.2,2109.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_mean",5,510781,137745,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_median",5,509994,137360,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_stddev",5,11774.6,1832.68,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_mean",5,523492,147432,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_median",5,521595,144518,ns,,,,,
