2020-12-31 23:53:37
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.83, 1.56, 1.43
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,34.1465,57.4429,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,33.8268,56.9298,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,0.671514,1.07524,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,36.828,59.9589,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,36.8353,59.9808,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.0403208,0.069852,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,45.3033,68.4012,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,45.307,68.397,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,0.0448683,0.0581414,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,89.4564,112.567,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,89.9115,113.048,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,1.13373,1.144,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,241.106,264.159,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,241.882,264.933,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,1.44327,1.42124,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,860.97,884.033,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,861.173,884.143,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,0.950059,0.956322,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,3446.44,3471.98,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,3445.64,3471.04,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,2.84981,2.75607,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,14568.9,14595.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,14575.7,14602.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,25.7159,25.5184,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,58534.3,58584,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,58547.8,58598.6,ns,,,,,
