2021-01-01 00:45:58
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.29, 1.38, 1.39
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,241268,67226.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,239255,66606.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,9993.86,4468.02,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,235719,63074.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,233959,62939.4,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,4887.71,719.735,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,242088,63483.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,241881,63397.4,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,2857.1,1600.83,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,235610,63001.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,234574,63304,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,4921.76,864.181,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,235418,63111.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,233858,62958.6,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,5401.41,1683.62,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,242890,63670.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,243933,63231.8,ns,,,,,
