2021-01-01 05:50:07
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.27, 1.38, 1.36
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,266585,79039.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,263629,78750.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,6182.31,3795.38,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,257923,74939.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,257417,74859.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,3514.59,739.104,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,259859,75327.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,257881,75383.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,4190.57,1894.86,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,255564,74960.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,255608,74172.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,2160.07,2085.99,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,255561,75666.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,254626,75820,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,1685.03,618.085,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,255964,74476.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,254685,74318.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,4425.09,514.799,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,255435,75294.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,254503,74939.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,3143.85,1461.46,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,252945,74166.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,253134,74403.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,1758.8,790.92,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,266657,75365.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,265880,75403.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,5076.58,844.242,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,325739,81083,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,325388,81499.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,3004.57,1349.27,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,521666,91142.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,521777,91174.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,2564.6,1164.42,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.53745e+06,226703,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.52904e+06,226402,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,14903.6,7766.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,5.34057e+06,562014,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,5.41285e+06,559921,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,317739,34620.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/1/manual_time_mean",5,547591,169074,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/1/manual_time_median",5,545672,168989,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/1/manual_time_stddev",5,9689.01,618.133,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/4/manual_time_mean",5,550617,169316,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/4/manual_time_median",5,547240,168899,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/4/manual_time_stddev",5,8237,1218.87,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/16/manual_time_mean",5,553962,171754,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/16/manual_time_median",5,553528,171263,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/16/manual_time_stddev",5,10361.9,3149.09,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/64/manual_time_mean",5,553498,171492,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/64/manual_time_median",5,552478,171078,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Rev_vector/64/manual_time_stddev",5,7570.35,2437.16,ns,,,,,
