2021-01-01 07:00:53
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.28, 1.42, 1.39
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,110.614,134.358,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,109.592,133.284,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,4.26461,4.8229,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,156.048,179.333,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,155.733,179.064,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.700253,0.773558,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,355.991,379.194,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,356.281,379.38,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,0.938363,0.920134,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,1176.5,1199.58,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,1176.86,1199.63,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,3.90081,3.68411,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,4522.5,4544.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,4518.73,4539.05,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,11.3842,12.0865,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,19339.7,19364.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,19479.4,19510,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,347.566,350.51,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,75391,75422.6,ns,,,,,
