name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_mean",5,77.7558,101.245,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_median",5,76.9699,100.3,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1/manual_time_stddev",5,2.9483,3.66444,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_mean",5,134.614,157.557,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_median",5,134.344,157.269,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4/manual_time_stddev",5,0.940469,1.08544,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_mean",5,360.454,383.462,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_median",5,358.707,381.62,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/16/manual_time_stddev",5,4.75334,4.99519,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_mean",5,1244.89,1267.66,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_median",5,1245.09,1267.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/64/manual_time_stddev",5,2.72549,2.7285,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_mean",5,4838.66,4861.8,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_median",5,4835.09,4857.57,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/256/manual_time_stddev",5,11.4901,10.8193,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_mean",5,19403.9,19435.6,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_median",5,19400.3,19432.1,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/1024/manual_time_stddev",5,58.4855,59.0566,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4096/manual_time_mean",5,77934,77966.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int1_Prim_vector/4096/manual_time_median",5,78000.7,78032.6,ns,,,,,
