name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,75.4431,99.0078,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,73.7338,96.8887,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,3.69222,4.55742,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,129.92,153.068,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,130.068,153.205,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,0.572795,0.658095,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,335.973,359.119,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,335.875,359.026,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,0.57342,0.597734,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,1187.74,1210.89,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,1187.96,1211.06,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,1.72109,1.81441,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,4638.59,4662.31,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,4637.94,4661.68,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,11.8878,12.1743,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,18638.9,18665.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,18643.5,18669.4,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,68.3453,68.0529,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,74428,74459.7,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,74456.2,74486.5,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,262.868,263.777,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,335856,335902,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,335458,335515,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,1087.15,1082.21,ns,,,,,
"bernoulli_logit_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,1.41105e+06,1.41111e+06,ns,,,,,
