name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int1_Prim_vector/1/manual_time_mean",5,33.2248,56.5033,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1/manual_time_median",5,33.0525,56.1542,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1/manual_time_stddev",5,0.562904,0.866553,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4/manual_time_mean",5,53.5614,76.6686,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4/manual_time_median",5,53.5661,76.6949,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4/manual_time_stddev",5,0.0835853,0.120931,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16/manual_time_mean",5,137.77,160.859,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16/manual_time_median",5,137.628,160.708,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16/manual_time_stddev",5,0.324455,0.364864,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/64/manual_time_mean",5,488.138,511.263,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/64/manual_time_median",5,488.618,511.752,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/64/manual_time_stddev",5,1.03701,1.0676,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/256/manual_time_mean",5,1848.73,1871.8,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/256/manual_time_median",5,1847.72,1870.79,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/256/manual_time_stddev",5,6.837,6.86474,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1024/manual_time_mean",5,7303.35,7331.19,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1024/manual_time_median",5,7304.37,7332.64,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1024/manual_time_stddev",5,36.6136,36.4766,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4096/manual_time_mean",5,29178.9,29225.4,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4096/manual_time_median",5,29040.9,29086.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4096/manual_time_stddev",5,326.06,327.213,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16384/manual_time_mean",5,116253,116320,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16384/manual_time_median",5,116069,116134,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/16384/manual_time_stddev",5,530.442,529.705,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/65536/manual_time_mean",5,465143,465210,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/65536/manual_time_median",5,465289,465391,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/65536/manual_time_stddev",5,524.994,527.555,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/262144/manual_time_mean",5,1.8589e+06,1.85875e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/262144/manual_time_median",5,1.86163e+06,1.86169e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/262144/manual_time_stddev",5,3883.01,4156.78,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1048576/manual_time_mean",5,7.5904e+06,7.58926e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1048576/manual_time_median",5,7.5704e+06,7.57094e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/1048576/manual_time_stddev",5,43405.9,42033.2,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4194304/manual_time_mean",5,3.08491e+07,3.08427e+07,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_vector/4194304/manual_time_median",5,3.086e+07,3.0853e+07,ns,,,,,
