name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,38.2414,61.5637,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,37.7436,60.8799,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,1.21864,1.71717,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,57.5893,80.7123,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,57.5257,80.6108,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,0.139221,0.191745,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,137.01,160.188,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,136.637,159.812,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,0.693978,0.750083,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,466.826,490.004,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,466.789,489.913,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,0.679576,0.678906,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,1749.7,1772.79,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,1745.29,1768.21,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,10.1811,10.2766,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,6873.75,6904.04,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,6862.7,6892.49,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,36.0369,36.2546,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,27439.2,27489.1,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,27412.7,27461.8,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,62.2681,63.9603,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,109471,109522,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,109489,109535,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,122.973,122.086,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,438925,438986,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_median",5,438817,438891,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/65536/manual_time_stddev",5,604.533,600.228,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_mean",5,1.75546e+06,1.75549e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_median",5,1.75647e+06,1.75648e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/262144/manual_time_stddev",5,7154.49,7154.94,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_mean",5,7.12498e+06,7.12549e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_median",5,7.1238e+06,7.12433e+06,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/1048576/manual_time_stddev",5,43254.6,43340.2,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_mean",5,2.88148e+07,2.88151e+07,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_median",5,2.87871e+07,2.8787e+07,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/4194304/manual_time_stddev",5,170728,170932,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_mean",5,1.15585e+08,1.15584e+08,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_median",5,1.15521e+08,1.1552e+08,ns,,,,,
"bernoulli_lpmf_Prim_int_Prim_vector/16777216/manual_time_stddev",5,510139,508944,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_mean",5,53.8893,88.0208,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_median",5,53.4061,87.3082,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/1/manual_time_stddev",5,0.844506,1.26095,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_mean",5,92.1378,127.088,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_median",5,91.9864,126.883,ns,,,,,
"bernoulli_lpmf_Prim_int_Rev_vector/4/manual_time_stddev",5,0.283879,0.315653,ns,,,,,
