name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,100.943,124.645,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,98.2532,121.597,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,6.45111,7.43832,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,199.624,222.753,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,199.415,222.567,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.587145,0.626611,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,582.134,605.217,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,581.922,605.121,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.35355,1.43894,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,2108.14,2131.24,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,2107.38,2130.5,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4.94517,4.97703,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,8200.73,8228.28,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,8202.8,8230.03,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,18.7652,18.9755,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,32487.9,32528.2,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,32459.8,32501.5,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,82.2542,82.0905,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,129764,129809,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,129613,129658,ns,,,,,
"beta_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,447.643,448.299,ns,,,,,
