name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,103.426,126.922,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,100.772,123.825,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,7.15502,8.28472,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,196.967,219.797,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,197.193,220.032,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.423829,0.474223,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,578.209,600.916,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,578.251,600.981,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,1.13321,1.0738,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,2094.43,2116.83,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,2090.7,2113.81,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,7.015,7.11958,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,8154.87,8179.52,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,8146.67,8169.76,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,20.283,20.798,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,32386.2,32423.5,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,32360.7,32399.1,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,48.2126,46.7896,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,129218,129261,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,129293,129340,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,190.793,190.845,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,518465,518507,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,518377,518430,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,823.502,825.97,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,2.07234e+06,2.0724e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,2.07177e+06,2.0719e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,6691.42,6678.22,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,8.28201e+06,8.28195e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,8.28656e+06,8.28655e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,18476.5,18421.5,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,3.34667e+07,3.34673e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,3.34808e+07,3.34812e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,63585.5,63070.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.3497e+08,1.34968e+08,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,1.35032e+08,1.3503e+08,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,218039,215733,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,5.39156e+08,5.3915e+08,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,5.39266e+08,5.39283e+08,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,1.2977e+06,1.31043e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,141.932,166.672,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_median",5,142.002,166.763,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_stddev",5,0.330569,0.378094,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_mean",5,273.301,298.028,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_median",5,273.377,298.106,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_stddev",5,0.468507,0.518787,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_mean",5,807.655,832.247,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_median",5,808.061,832.655,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_stddev",5,1.09693,1.09529,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_mean",5,2859.4,2884.08,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_median",5,2858.14,2883.02,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_stddev",5,5.95042,5.91717,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_mean",5,11147.2,11171.8,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_median",5,11154,11179.1,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_stddev",5,40.6503,40.7103,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_mean",5,44069.9,44098.4,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_median",5,44083.4,44111.1,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_stddev",5,40.6683,41.0348,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_mean",5,177222,177255,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_median",5,176742,176776,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_stddev",5,1705.77,1705.03,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_mean",5,705620,705652,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_median",5,705506,705522,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_stddev",5,1883.67,1895.46,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_mean",5,2.82891e+06,2.82895e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_median",5,2.83058e+06,2.83061e+06,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_stddev",5,7406.06,7438.6,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_mean",5,1.13422e+07,1.13422e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_median",5,1.13554e+07,1.13547e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_stddev",5,22838.4,22870.1,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_mean",5,4.67053e+07,4.67051e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_median",5,4.66636e+07,4.6662e+07,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_stddev",5,156367,155744,ns,,,,,
"beta_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_mean",5,1.92631e+08,1.92631e+08,ns,,,,,
