name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,132.534,156.25,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,129.889,153.302,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,6.79452,7.65601,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,187.568,210.692,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,187.677,210.805,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.471064,0.511726,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,409.39,432.51,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,409.143,432.239,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1.06868,1.16973,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,1286.07,1309.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,1285.01,1308.12,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,3.96923,4.04981,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,4834.35,4856.76,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,4831.78,4854.42,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,9.03758,8.97797,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,19465.7,19487.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,19952.7,19974.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,726.077,726.378,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,78566.3,78590.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,78522.2,78546.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,173.498,171.886,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,315823,315857,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,314937,314966,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,2745.14,2748.27,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,1.47212e+06,1.47216e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,1.47145e+06,1.47148e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,1304.47,1299.94,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,6.07164e+06,6.07163e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,6.07321e+06,6.07297e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,9578.16,9334.12,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,2.5634e+07,2.56333e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,2.56623e+07,2.5661e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,65861.2,65664.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,9.71879e+07,9.71805e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,9.705e+07,9.70486e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,359645,360317,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,3.87028e+08,3.87009e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,3.86764e+08,3.86748e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,1.16321e+06,1.16515e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,158.719,183.373,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,158.76,183.372,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,0.486463,0.565528,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,218.23,242.85,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,218.209,242.802,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,0.385857,0.418312,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,444.207,468.773,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,444.784,469.33,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,1.4435,1.52762,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,1345.64,1370.09,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,1346.37,1370.92,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,3.68541,3.73741,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,4987.83,5012.3,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,4988.55,5013.06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,7.62981,7.53807,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,19912.4,19941.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_median",5,20338.8,20367.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_stddev",5,669.697,669.157,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_mean",5,80401.3,80430.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_median",5,80389.6,80421.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_stddev",5,167.047,166.034,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_mean",5,322105,322134,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_median",5,321231,321228,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_stddev",5,2499.32,2507.17,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_mean",5,1.28157e+06,1.28153e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_median",5,1.28077e+06,1.28067e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_stddev",5,2547,2549.03,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_mean",5,5.17591e+06,5.17585e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_median",5,5.17029e+06,5.17038e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_stddev",5,12464.8,12411.6,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_mean",5,2.62699e+07,2.6267e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_median",5,2.62325e+07,2.62313e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_stddev",5,158012,158622,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_mean",5,1.00113e+08,1.00107e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_median",5,1.00204e+08,1.0019e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_stddev",5,669219,669642,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_mean",5,3.96435e+08,3.96408e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_median",5,3.96391e+08,3.9635e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_stddev",5,509568,526227,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_mean",5,159.335,183.997,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_median",5,159.499,184.185,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_stddev",5,0.383072,0.407048,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4/manual_time_mean",5,219.693,244.237,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4/manual_time_median",5,219.671,244.284,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4/manual_time_stddev",5,0.465456,0.50344,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16/manual_time_mean",5,445.503,470.021,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16/manual_time_median",5,445.388,469.888,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16/manual_time_stddev",5,1.61259,1.60303,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/64/manual_time_mean",5,1338.93,1363.43,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/64/manual_time_median",5,1336.48,1361.08,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/64/manual_time_stddev",5,4.29071,4.36899,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/256/manual_time_mean",5,4981.1,5005.5,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/256/manual_time_median",5,4971.56,4995.63,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/256/manual_time_stddev",5,16.014,16.2353,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1024/manual_time_mean",5,19924.7,19954.3,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1024/manual_time_median",5,20412.7,20441.5,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1024/manual_time_stddev",5,703.106,702.893,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4096/manual_time_mean",5,80687.9,80718.4,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4096/manual_time_median",5,80629.2,80661,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/4096/manual_time_stddev",5,257.435,254.371,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16384/manual_time_mean",5,322500,322529,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16384/manual_time_median",5,322578,322616,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/16384/manual_time_stddev",5,351.462,348.531,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/65536/manual_time_mean",5,1.2843e+06,1.28427e+06,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/65536/manual_time_median",5,1.28534e+06,1.2854e+06,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/65536/manual_time_stddev",5,2177.63,2162.25,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/262144/manual_time_mean",5,5.17229e+06,5.17226e+06,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/262144/manual_time_median",5,5.16671e+06,5.16647e+06,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/262144/manual_time_stddev",5,10348,10522.8,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1048576/manual_time_mean",5,2.64348e+07,2.64339e+07,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1048576/manual_time_median",5,2.64799e+07,2.64779e+07,ns,,,,,
"beta_lpdf_Prim_vector_Rev_real_Prim_real/1048576/manual_time_stddev",5,116020,116750,ns,,,,,
