name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,142.069,165.942,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,135.565,158.734,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,14.1128,15.7249,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,291.301,314.331,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,291.322,314.318,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.249882,0.310891,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,902.4,925.368,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,902.93,925.872,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,2.33909,2.36343,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,3302.89,3325.87,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,3299.89,3322.85,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,8.67783,8.78519,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,12990.6,13014.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,12949.8,12973.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,73.4813,73.5454,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,51175.9,51211.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,51215,51251,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,170.337,169.335,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,204448,204485,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,204133,204165,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,1102.03,1100.61,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,821110,821148,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,817307,817374,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,9465.39,9434.79,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,3.47224e+06,3.47229e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,3.468e+06,3.46814e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,7736.65,7733.56,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,1.4271e+07,1.42714e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,1.42639e+07,1.42647e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,85317.9,85350.8,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,5.85106e+07,5.85108e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,5.84917e+07,5.84935e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,201746,201869,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,2.33783e+08,2.3378e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,2.33648e+08,2.33649e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,978020,978894,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,9.30445e+08,9.3043e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,9.29927e+08,9.29907e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,2.43447e+06,2.4219e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,180.409,204.954,ns,,,,,
