name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,153.973,178.318,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,148.447,172.172,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,14.9906,16.6564,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,379.445,402.883,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,379.288,402.684,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,1.15399,1.19689,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,1198.11,1221.48,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,1196.58,1219.96,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,4.33473,4.38163,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,4456.38,4480.38,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,4456.56,4481,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,17.2198,17.4075,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,17540.2,17567.2,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,17528.6,17555.5,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,121.664,122.583,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,69099.5,69144.1,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,69027.5,69072.9,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,192.121,191.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,276246,276278,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,276219,276266,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,676.339,674.586,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,1.14357e+06,1.14353e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,1.1432e+06,1.14314e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,3779.64,3778.72,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,4.63049e+06,4.63012e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,4.6271e+06,4.62671e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,13794.6,13976.4,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,1.91585e+07,1.91573e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,1.91416e+07,1.914e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,57161,57047.7,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,7.78514e+07,7.78482e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,7.77654e+07,7.77619e+07,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,221035,220973,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,3.11291e+08,3.11276e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,3.1136e+08,3.11341e+08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,2.15807e+06,2.16219e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,1.23703e+09,1.23692e+09,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,1.2375e+09,1.23737e+09,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,1.29095e+06,1.2858e+06,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_mean",5,229.601,264.865,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_median",5,229.834,264.995,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_stddev",5,1.05538,1.09311,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_mean",5,513.972,550.781,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_median",5,510.419,547.256,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_stddev",5,8.53474,8.54061,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_mean",5,1647.7,1685.59,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_median",5,1647.06,1684.97,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_stddev",5,2.79432,2.86715,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_mean",5,6042.94,6086.97,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_median",5,5996.69,6041.08,ns,,,,,
"beta_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_stddev",5,67.9346,68.0288,ns,,,,,
