name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,137.946,161.352,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,136.857,160.159,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,3.74117,4.2594,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,286.165,309.256,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,285.953,309.011,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.552911,0.593633,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,884.64,907.738,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,885.246,908.395,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.61429,1.66387,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,3280.8,3303.46,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,3281.03,3304.13,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,7.77267,8.51989,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,12927.7,12951.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,12933.8,12960.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,32.7743,36.3475,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,51016.6,51041.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,50998,51028.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,93.0516,93.5652,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,204282,204310,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,204240,204261,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,328.328,327.099,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,817555,817585,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,817895,817943,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2107.07,2103.39,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,3.48761e+06,3.48757e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,3.48678e+06,3.48693e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,6202.62,6095.85,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.41032e+07,1.41026e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.40963e+07,1.40959e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,27645.6,28427.1,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,5.83837e+07,5.83828e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,5.83322e+07,5.8328e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,133897,132616,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.32983e+08,2.32961e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,2.32916e+08,2.32906e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,646809,636931,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,9.28948e+08,9.28891e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,9.28848e+08,9.28814e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,1.6178e+06,1.61054e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,208.681,243.978,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,208.862,244.144,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.588292,0.648,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,480.351,517.138,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,480.841,517.652,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,1.01978,1.08343,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,1505.59,1543.42,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,1504.48,1542.33,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,4.60026,4.65401,ns,,,,,
