name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_mean",5,121.225,144.565,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_median",5,118.021,140.919,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1/manual_time_stddev",5,7.0113,7.98394,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_mean",5,256.79,279.668,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_median",5,256.661,279.568,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4/manual_time_stddev",5,0.446272,0.478698,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_mean",5,737.272,760.112,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_median",5,735.715,758.567,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16/manual_time_stddev",5,4.89184,5.00093,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_mean",5,2698.78,2721.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_median",5,2697.06,2719.93,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/64/manual_time_stddev",5,3.81033,3.7949,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_mean",5,10546.1,10577.2,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_median",5,10548,10578.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/256/manual_time_stddev",5,11.0791,10.2205,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_mean",5,41722.1,41756.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_median",5,41607.1,41642.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/1024/manual_time_stddev",5,346.719,346.238,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_mean",5,167144,167178,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_median",5,166891,166926,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/4096/manual_time_stddev",5,409.154,410.727,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_mean",5,669954,669990,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_median",5,669705,669757,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_array_int/16384/manual_time_stddev",5,2349.88,2339.3,ns,,,,,
