name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,131.2,154.764,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,128.07,151.313,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,9.0836,10.2399,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,230.761,253.626,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,230.704,253.561,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.360587,0.387931,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,641.275,664.146,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,640.545,663.405,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,2.57512,2.62527,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,2288.81,2311.69,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,2284.72,2307.56,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,11.9938,12.008,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,8888.79,8911.57,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,8875.04,8897.52,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,26.9778,26.9758,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,35283.7,35308.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,35037.6,35059.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,530.401,531.344,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,140634,140662,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,139732,139768,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,1593.01,1585.94,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,558736,558778,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,558583,558648,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,1371.59,1374.26,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,2.24754e+06,2.24753e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,2.24856e+06,2.24857e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,8267.54,8311.69,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,9.01899e+06,9.01849e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,9.01602e+06,9.01553e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,27098.4,27184.4,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,3.72639e+07,3.72632e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,3.72923e+07,3.72939e+07,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,86040.4,86272.8,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.56142e+08,1.56133e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,1.56156e+08,1.56137e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,250983,251300,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,6.21942e+08,6.21912e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,6.22422e+08,6.22374e+08,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,1.84468e+06,1.83275e+06,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,170.885,195.59,ns,,,,,
