name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_mean",5,119.487,142.786,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_median",5,117.977,141.113,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1/manual_time_stddev",5,3.57456,4.05864,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_mean",5,299.767,322.715,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_median",5,299.034,321.932,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4/manual_time_stddev",5,1.62233,1.69019,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_mean",5,1012.96,1035.87,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_median",5,1012.31,1035.32,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16/manual_time_stddev",5,3.11387,3.19161,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_mean",5,3805.04,3827.69,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_median",5,3798.58,3821.33,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/64/manual_time_stddev",5,14.8527,14.8202,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_mean",5,15028.3,15049.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_median",5,15023.8,15044.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/256/manual_time_stddev",5,24.8696,23.9039,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_mean",5,59714.3,59738.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_median",5,59543.3,59567.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1024/manual_time_stddev",5,353.104,354.382,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4096/manual_time_mean",5,238302,238303,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4096/manual_time_median",5,238382,238385,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4096/manual_time_stddev",5,215.254,215.807,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16384/manual_time_mean",5,957185,957123,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16384/manual_time_median",5,957368,957186,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16384/manual_time_stddev",5,802.224,780.052,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/65536/manual_time_mean",5,4.03517e+06,4.03462e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/65536/manual_time_median",5,4.03446e+06,4.03376e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/65536/manual_time_stddev",5,4553.52,4580.06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/262144/manual_time_mean",5,1.64531e+07,1.64502e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/262144/manual_time_median",5,1.64582e+07,1.64562e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/262144/manual_time_stddev",5,43417.2,43765.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1048576/manual_time_mean",5,6.72244e+07,6.72104e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1048576/manual_time_median",5,6.71779e+07,6.7168e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/1048576/manual_time_stddev",5,215515,213877,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4194304/manual_time_mean",5,2.70283e+08,2.70237e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4194304/manual_time_median",5,2.69509e+08,2.69457e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/4194304/manual_time_stddev",5,2.52288e+06,2.5301e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16777216/manual_time_mean",5,1.06778e+09,1.06759e+09,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16777216/manual_time_median",5,1.0673e+09,1.06709e+09,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_array_int/16777216/manual_time_stddev",5,2.96107e+06,2.92262e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_real_Prim_array_int/1/manual_time_mean",5,169.073,193.827,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_real_Prim_array_int/1/manual_time_median",5,168.924,193.652,ns,,,,,
