name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_mean",5,88.0183,111.518,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_median",5,86.6131,109.931,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1/manual_time_stddev",5,3.53322,4.07435,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_mean",5,145.47,168.34,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_median",5,145.48,168.343,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4/manual_time_stddev",5,0.371851,0.383178,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_mean",5,374.997,397.914,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_median",5,375.106,398.034,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16/manual_time_stddev",5,0.566321,0.566512,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_mean",5,1294.88,1317.74,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_median",5,1294.39,1317.21,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/64/manual_time_stddev",5,3.26608,3.32917,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_mean",5,4965.08,4987.98,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_median",5,4971.18,4993.76,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/256/manual_time_stddev",5,13.625,13.4983,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_mean",5,19592.8,19621.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_median",5,19585.9,19614.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/1024/manual_time_stddev",5,40.1888,40.0196,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_mean",5,78148.5,78178.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_median",5,78207.2,78233.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/4096/manual_time_stddev",5,130.679,130.294,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_mean",5,311991,312023,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_median",5,311892,311918,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/16384/manual_time_stddev",5,675.152,679.347,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_mean",5,1.26145e+06,1.26147e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_median",5,1.24929e+06,1.24932e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/65536/manual_time_stddev",5,21979.6,21974.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/262144/manual_time_mean",5,4.98696e+06,4.98672e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_int/262144/manual_time_median",5,4.98672e+06,4.9864e+06,ns,,,,,
