name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,106.914,130.359,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,104.901,128.081,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,6.16695,7.12434,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,170.774,193.631,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,170.855,193.699,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.258064,0.310116,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,412.138,434.992,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,412.118,434.991,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,0.800839,0.807617,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,1384.79,1407.64,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,1384.07,1406.86,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,4.91875,5.03677,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,5266.82,5289.68,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,5260.57,5283.39,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,21.2231,21.2863,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,20775.9,20810.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,20812.4,20845.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,55.3663,54.4295,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,82882.4,82921.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,82840.3,82879.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,129.51,129.162,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,330754,330794,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,330621,330646,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,1244.48,1245.04,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,1.32697e+06,1.32699e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,1.32482e+06,1.3248e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,3932.95,3974.21,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,5.29069e+06,5.29063e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,5.28707e+06,5.28702e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,9290.36,9274.82,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,2.12964e+07,2.12953e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,2.13228e+07,2.13213e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,42774.5,42527,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,8.54754e+07,8.54703e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,8.54647e+07,8.54605e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,165447,162938,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,3.46113e+08,3.46087e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,3.42588e+08,3.42557e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,7.0047e+06,7.00509e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,166.103,190.843,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,165.865,190.576,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,0.732429,0.808405,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,224.088,248.824,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,223.53,248.224,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,1.09196,1.18549,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,450.631,475.322,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,449.646,474.295,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,2.20023,2.2168,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,1369,1393.63,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,1366.93,1391.48,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,9.9072,10.009,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,5042.39,5067.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,5039.48,5063.86,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,15.3629,15.9264,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,20119.4,20144.6,ns,,,,,
