name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,153.665,177.39,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,151.034,174.515,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,6.62991,7.33682,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,359.909,383.08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,359.301,382.479,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,4.64482,4.83456,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,1211.03,1234.21,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,1214.18,1237.62,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,13.2442,13.505,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,4557.57,4582.06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,4549.37,4575.95,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,45.1797,45.9727,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,18058,18088,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,17960.4,17988.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,229.13,230.044,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,70801.6,70836.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,70767.3,70800,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,411.724,411.968,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,282179,282203,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,282080,282101,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,392.262,390.484,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,1.17305e+06,1.17307e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,1.17039e+06,1.17042e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,5522.34,5518.08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,4.75855e+06,4.75836e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,4.74053e+06,4.74056e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,33735.4,33817.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,1.95901e+07,1.95902e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,1.93751e+07,1.93755e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,531521,531695,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,7.82967e+07,7.8291e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,7.8255e+07,7.82504e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,149140,152220,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,3.14836e+08,3.14798e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,3.14135e+08,3.14103e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,1.62381e+06,1.62094e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.25454e+09,1.25443e+09,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,1.2548e+09,1.25471e+09,ns,,,,,
