name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1/manual_time_mean",5,106.232,129.809,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1/manual_time_median",5,102.043,125.565,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1/manual_time_stddev",5,9.2838,10.6628,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4/manual_time_mean",5,263.994,287.164,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4/manual_time_median",5,263.712,286.831,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4/manual_time_stddev",5,0.957387,1.03208,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16/manual_time_mean",5,912.546,935.726,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16/manual_time_median",5,912.456,935.671,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16/manual_time_stddev",5,0.698764,0.6697,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/64/manual_time_mean",5,3507.78,3532.01,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/64/manual_time_median",5,3508.95,3535.67,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/64/manual_time_stddev",5,6.03322,6.75109,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/256/manual_time_mean",5,13958.9,13984.8,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/256/manual_time_median",5,13914.7,13939.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/256/manual_time_stddev",5,86.7015,87.4374,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1024/manual_time_mean",5,55224.3,55256.7,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1024/manual_time_median",5,55259.8,55293.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1024/manual_time_stddev",5,125.213,125.334,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4096/manual_time_mean",5,220446,220471,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4096/manual_time_median",5,220298,220319,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4096/manual_time_stddev",5,447.09,445.392,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16384/manual_time_mean",5,884216,884236,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16384/manual_time_median",5,884286,884308,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16384/manual_time_stddev",5,3424.1,3417.76,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/65536/manual_time_mean",5,3.54119e+06,3.54094e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/65536/manual_time_median",5,3.54157e+06,3.5413e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/65536/manual_time_stddev",5,2493.72,2446.65,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/262144/manual_time_mean",5,1.42412e+07,1.4241e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/262144/manual_time_median",5,1.42389e+07,1.42385e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/262144/manual_time_stddev",5,48629.6,48585.1,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1048576/manual_time_mean",5,5.88025e+07,5.88008e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1048576/manual_time_median",5,5.84464e+07,5.84458e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/1048576/manual_time_stddev",5,885042,885296,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4194304/manual_time_mean",5,2.40007e+08,2.39996e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4194304/manual_time_median",5,2.3978e+08,2.39759e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/4194304/manual_time_stddev",5,1.04499e+06,1.04679e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16777216/manual_time_mean",5,9.56145e+08,9.56088e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16777216/manual_time_median",5,9.56618e+08,9.56564e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Prim_vector_Prim_int/16777216/manual_time_stddev",5,1.14482e+06,1.13162e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1/manual_time_mean",5,187.451,222.818,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1/manual_time_median",5,187.544,222.865,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1/manual_time_stddev",5,0.213913,0.1972,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4/manual_time_mean",5,434.989,471.91,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4/manual_time_median",5,434.976,471.943,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4/manual_time_stddev",5,0.297454,0.30447,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16/manual_time_mean",5,1399.08,1436.94,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16/manual_time_median",5,1398.72,1436.45,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16/manual_time_stddev",5,2.23113,2.24995,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/64/manual_time_mean",5,5179.14,5223.58,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/64/manual_time_median",5,5170.41,5214.71,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/64/manual_time_stddev",5,29.7547,30.0547,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/256/manual_time_mean",5,20259.1,20350.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/256/manual_time_median",5,20279.8,20370.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/256/manual_time_stddev",5,63.9085,62.8719,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1024/manual_time_mean",5,80736.9,81015.4,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1024/manual_time_median",5,80716.3,80989.9,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1024/manual_time_stddev",5,93.6183,93.2097,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4096/manual_time_mean",5,324329,325083,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4096/manual_time_median",5,324622,325371,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/4096/manual_time_stddev",5,778.453,767.886,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16384/manual_time_mean",5,1.30005e+06,1.30356e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16384/manual_time_median",5,1.30056e+06,1.30411e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/16384/manual_time_stddev",5,4129.69,4183.19,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/65536/manual_time_mean",5,5.21166e+06,5.22828e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/65536/manual_time_median",5,5.20802e+06,5.22475e+06,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/65536/manual_time_stddev",5,14328.3,14402.5,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/262144/manual_time_mean",5,2.18279e+07,2.19726e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/262144/manual_time_median",5,2.17884e+07,2.19337e+07,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/262144/manual_time_stddev",5,89496.5,88595.6,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1048576/manual_time_mean",5,9.87152e+07,1.01515e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1048576/manual_time_median",5,9.86696e+07,1.01481e+08,ns,,,,,
"beta_proportion_lpdf_Prim_vector_Rev_vector_Prim_int/1048576/manual_time_stddev",5,254488,255406,ns,,,,,
