name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1/manual_time_mean",5,75.1373,98.5627,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1/manual_time_median",5,72.7478,95.7582,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1/manual_time_stddev",5,5.42183,6.41261,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4/manual_time_mean",5,155.952,178.887,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4/manual_time_median",5,155.64,178.506,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4/manual_time_stddev",5,0.927427,1.06111,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16/manual_time_mean",5,465.744,488.566,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16/manual_time_median",5,465.631,488.519,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16/manual_time_stddev",5,0.595515,0.561423,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/64/manual_time_mean",5,1714.56,1737.41,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/64/manual_time_median",5,1717.4,1740.08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/64/manual_time_stddev",5,11.7926,11.8919,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/256/manual_time_mean",5,6593.63,6617.32,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/256/manual_time_median",5,6583.44,6607.59,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/256/manual_time_stddev",5,22.9794,22.7171,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1024/manual_time_mean",5,28111,28142.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1024/manual_time_median",5,28099.6,28130.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1024/manual_time_stddev",5,100.844,101.359,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4096/manual_time_mean",5,111750,111783,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4096/manual_time_median",5,111826,111860,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4096/manual_time_stddev",5,229.124,232.272,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16384/manual_time_mean",5,448516,448550,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16384/manual_time_median",5,448604,448603,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16384/manual_time_stddev",5,1559.87,1560.27,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/65536/manual_time_mean",5,1.79674e+06,1.79672e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/65536/manual_time_median",5,1.79368e+06,1.79358e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/65536/manual_time_stddev",5,9654.57,9658.12,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/262144/manual_time_mean",5,7.20656e+06,7.20647e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/262144/manual_time_median",5,7.20545e+06,7.20553e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/262144/manual_time_stddev",5,8487.34,8373.06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1048576/manual_time_mean",5,2.93617e+07,2.93612e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1048576/manual_time_median",5,2.93298e+07,2.93293e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/1048576/manual_time_stddev",5,93693.2,92975.7,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4194304/manual_time_mean",5,1.17648e+08,1.17646e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4194304/manual_time_median",5,1.17508e+08,1.17508e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/4194304/manual_time_stddev",5,301917,300622,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16777216/manual_time_mean",5,4.72078e+08,4.7207e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16777216/manual_time_median",5,4.71702e+08,4.71701e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_vector/16777216/manual_time_stddev",5,1.17936e+06,1.17768e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1/manual_time_mean",5,99.0634,133.286,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1/manual_time_median",5,99.0029,133.218,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1/manual_time_stddev",5,0.189571,0.242813,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4/manual_time_mean",5,210.638,245.657,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4/manual_time_median",5,210.659,245.636,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4/manual_time_stddev",5,0.270807,0.326865,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16/manual_time_mean",5,601.331,637.77,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16/manual_time_median",5,601.617,638.09,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16/manual_time_stddev",5,1.28218,1.31259,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/64/manual_time_mean",5,2140,2182.81,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/64/manual_time_median",5,2139.76,2182.25,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/64/manual_time_stddev",5,5.86714,5.86016,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/256/manual_time_mean",5,8321.66,8411.84,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/256/manual_time_median",5,8311.71,8401.79,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/256/manual_time_stddev",5,20.7758,20.4266,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1024/manual_time_mean",5,33336.1,33606,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1024/manual_time_median",5,33358.8,33633.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1024/manual_time_stddev",5,57.0888,61.2355,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4096/manual_time_mean",5,133085,133815,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4096/manual_time_median",5,132997,133728,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4096/manual_time_stddev",5,361.947,358.334,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16384/manual_time_mean",5,536305,539902,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16384/manual_time_median",5,536186,539817,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16384/manual_time_stddev",5,712.933,708.981,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/65536/manual_time_mean",5,2.14855e+06,2.16465e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/65536/manual_time_median",5,2.14773e+06,2.16378e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/65536/manual_time_stddev",5,4008.7,4102.97,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/262144/manual_time_mean",5,8.99025e+06,9.1081e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/262144/manual_time_median",5,8.98989e+06,9.10664e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/262144/manual_time_stddev",5,14096.8,14200.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1048576/manual_time_mean",5,3.74715e+07,3.82271e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1048576/manual_time_median",5,3.74579e+07,3.82161e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/1048576/manual_time_stddev",5,37476.7,41400.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4194304/manual_time_mean",5,1.6692e+08,1.76323e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4194304/manual_time_median",5,1.6624e+08,1.75562e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/4194304/manual_time_stddev",5,1.75959e+06,1.99952e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16777216/manual_time_mean",5,6.72047e+08,7.07329e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16777216/manual_time_median",5,6.65262e+08,7.00545e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_vector/16777216/manual_time_stddev",5,1.58898e+07,1.5933e+07,ns,,,,,
