name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1/manual_time_mean",5,71.43,94.6681,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1/manual_time_median",5,70.6325,93.8489,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1/manual_time_stddev",5,2.93556,3.59247,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4/manual_time_mean",5,149.514,172.399,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4/manual_time_median",5,149.567,172.441,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4/manual_time_stddev",5,0.482925,0.551543,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16/manual_time_mean",5,444.051,466.913,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16/manual_time_median",5,444.088,466.923,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16/manual_time_stddev",5,0.563743,0.533583,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/64/manual_time_mean",5,1635.75,1658.59,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/64/manual_time_median",5,1641.47,1664.33,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/64/manual_time_stddev",5,18.1044,18.1485,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/256/manual_time_mean",5,6193.65,6216.72,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/256/manual_time_median",5,6178,6200.74,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/256/manual_time_stddev",5,51.6691,51.6734,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1024/manual_time_mean",5,26474.8,26497.8,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1024/manual_time_median",5,26382.6,26404.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1024/manual_time_stddev",5,151.483,151.756,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4096/manual_time_mean",5,105447,105470,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4096/manual_time_median",5,105461,105480,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4096/manual_time_stddev",5,236.893,235.604,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16384/manual_time_mean",5,422394,422433,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16384/manual_time_median",5,422174,422220,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16384/manual_time_stddev",5,635.068,631.664,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/65536/manual_time_mean",5,1.69601e+06,1.69595e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/65536/manual_time_median",5,1.69487e+06,1.69477e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/65536/manual_time_stddev",5,5153.03,5194.35,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/262144/manual_time_mean",5,6.78554e+06,6.78509e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/262144/manual_time_median",5,6.78334e+06,6.78259e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/262144/manual_time_stddev",5,22702.1,23052.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1048576/manual_time_mean",5,2.75641e+07,2.75637e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1048576/manual_time_median",5,2.75447e+07,2.75435e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/1048576/manual_time_stddev",5,39047.7,39505.3,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4194304/manual_time_mean",5,1.11367e+08,1.11364e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4194304/manual_time_median",5,1.11502e+08,1.11499e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/4194304/manual_time_stddev",5,408426,406551,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16777216/manual_time_mean",5,4.43116e+08,4.43092e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16777216/manual_time_median",5,4.43024e+08,4.43007e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Prim_vector/16777216/manual_time_stddev",5,1.33661e+06,1.32769e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1/manual_time_mean",5,95.0259,128.912,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1/manual_time_median",5,94.9818,128.882,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1/manual_time_stddev",5,0.170212,0.215895,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4/manual_time_mean",5,204.778,240.286,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4/manual_time_median",5,202.947,238.095,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4/manual_time_stddev",5,3.61122,4.23339,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16/manual_time_mean",5,588.55,624.86,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16/manual_time_median",5,587.995,624.248,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16/manual_time_stddev",5,0.98528,1.08119,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/64/manual_time_mean",5,2125.22,2167.64,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/64/manual_time_median",5,2130.4,2172.83,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/64/manual_time_stddev",5,13.4902,13.4672,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/256/manual_time_mean",5,8119.39,8207.17,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/256/manual_time_median",5,8117.34,8204.55,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/256/manual_time_stddev",5,16.9528,16.9308,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1024/manual_time_mean",5,32400.3,32671.4,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1024/manual_time_median",5,32401.7,32669.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1024/manual_time_stddev",5,125.13,119.124,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4096/manual_time_mean",5,129770,130503,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4096/manual_time_median",5,129679,130408,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4096/manual_time_stddev",5,294.275,295.156,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16384/manual_time_mean",5,524249,527889,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16384/manual_time_median",5,523997,527659,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16384/manual_time_stddev",5,1129.1,1110.97,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/65536/manual_time_mean",5,2.09279e+06,2.10881e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/65536/manual_time_median",5,2.0929e+06,2.10886e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/65536/manual_time_stddev",5,4730.18,4725.48,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/262144/manual_time_mean",5,8.73335e+06,8.85254e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/262144/manual_time_median",5,8.72505e+06,8.84574e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/262144/manual_time_stddev",5,20832.1,21175.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1048576/manual_time_mean",5,3.6445e+07,3.72503e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1048576/manual_time_median",5,3.64265e+07,3.72296e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/1048576/manual_time_stddev",5,87368.7,83999.1,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4194304/manual_time_mean",5,1.6282e+08,1.72403e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4194304/manual_time_median",5,1.62928e+08,1.7248e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/4194304/manual_time_stddev",5,438364,425468,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16777216/manual_time_mean",5,6.55815e+08,6.92948e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16777216/manual_time_median",5,6.49223e+08,6.86131e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int_Rev_vector/16777216/manual_time_stddev",5,1.54524e+07,1.55977e+07,ns,,,,,
