name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1/manual_time_mean",5,69.3207,92.804,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1/manual_time_median",5,68.3469,91.6632,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1/manual_time_stddev",5,2.60496,3.13149,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4/manual_time_mean",5,151.349,174.396,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4/manual_time_median",5,151.369,174.428,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4/manual_time_stddev",5,0.229056,0.228867,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16/manual_time_mean",5,465.742,488.756,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16/manual_time_median",5,464.912,487.875,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16/manual_time_stddev",5,1.61719,1.65875,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/64/manual_time_mean",5,1723.42,1746.15,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/64/manual_time_median",5,1724.97,1747.94,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/64/manual_time_stddev",5,14.1025,14.1017,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/256/manual_time_mean",5,6523.97,6546.47,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/256/manual_time_median",5,6519.54,6543.28,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/256/manual_time_stddev",5,25.213,25.0477,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1024/manual_time_mean",5,27977.1,28006,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1024/manual_time_median",5,27677.9,27718.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1024/manual_time_stddev",5,556.969,551.508,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4096/manual_time_mean",5,111051,111058,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4096/manual_time_median",5,110675,110643,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4096/manual_time_stddev",5,1005.93,1021.77,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16384/manual_time_mean",5,445041,444979,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16384/manual_time_median",5,443432,443204,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16384/manual_time_stddev",5,3080.7,3094.94,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/65536/manual_time_mean",5,1.77773e+06,1.77732e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/65536/manual_time_median",5,1.77486e+06,1.77378e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/65536/manual_time_stddev",5,10987.1,11075.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/262144/manual_time_mean",5,7.16057e+06,7.15872e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/262144/manual_time_median",5,7.12741e+06,7.1275e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/262144/manual_time_stddev",5,80703.7,80272.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1048576/manual_time_mean",5,2.90171e+07,2.90133e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1048576/manual_time_median",5,2.89492e+07,2.89321e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/1048576/manual_time_stddev",5,160388,162875,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4194304/manual_time_mean",5,1.16438e+08,1.16396e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4194304/manual_time_median",5,1.1634e+08,1.16336e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/4194304/manual_time_stddev",5,326208,256399,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16777216/manual_time_mean",5,4.66029e+08,4.65988e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16777216/manual_time_median",5,4.65447e+08,4.65413e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Prim_vector/16777216/manual_time_stddev",5,1.53517e+06,1.52446e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/1/manual_time_mean",5,98.4145,132.199,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/1/manual_time_median",5,98.3511,132.087,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/1/manual_time_stddev",5,0.178974,0.252536,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/4/manual_time_mean",5,209.26,244.265,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/4/manual_time_median",5,209.34,244.305,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/4/manual_time_stddev",5,0.256158,0.330343,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/16/manual_time_mean",5,601.659,637.999,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/16/manual_time_median",5,601.238,637.627,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/16/manual_time_stddev",5,0.805631,0.854977,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/64/manual_time_mean",5,2173.4,2216.21,ns,,,,,
"binomial_lpmf_Prim_int_Prim_array_int_Rev_vector/64/manual_time_median",5,2168.57,2211.24,ns,,,,,
