name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,44.7032,68.0075,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,43.6886,66.5783,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,1.82579,2.52561,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,79.7783,102.699,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,79.7521,102.656,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.348483,0.405449,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,219.818,242.754,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,219.481,242.409,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.776659,0.81727,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,781.511,804.468,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,780.526,803.593,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3.73985,3.84549,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,2985.92,3008.81,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,2984,3006.95,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,6.93939,7.01882,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,11838.9,11881.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,11827.9,11870.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,53.4869,53.6231,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,46667,46718,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,46647.4,46699.8,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,135.194,133.76,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,186572,186637,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,186157,186211,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,793.85,795.12,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,742587,742639,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,741918,742001,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,1399.23,1380.81,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,2.97812e+06,2.97811e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,2.97742e+06,2.97739e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,9467.95,9436.83,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,1.21945e+07,1.21948e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,1.2184e+07,1.21847e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,50333.7,50347.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,4.89017e+07,4.89012e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,4.88793e+07,4.88775e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,94844.5,94887.5,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,1.9492e+08,1.94918e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,1.94746e+08,1.94742e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,396446,394141,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_mean",5,152.416,187.864,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_median",5,152.353,187.835,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_stddev",5,0.321162,0.319351,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_mean",5,201.085,237.999,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_median",5,200.968,237.911,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_stddev",5,0.376132,0.406557,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_mean",5,416.296,454.654,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_median",5,416.68,454.903,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_stddev",5,0.797922,0.74501,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_mean",5,1303.33,1347.57,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_median",5,1301.5,1345.89,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_stddev",5,4.12142,3.93507,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_mean",5,4879.68,4989.64,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_median",5,4868.71,4978.14,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_stddev",5,26.6971,27.2863,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_mean",5,18866.3,19143.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_median",5,18891.4,19164.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_stddev",5,96.0972,98.7273,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_mean",5,76810.1,77551.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_median",5,76753.2,77496.4,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_stddev",5,351.091,353.908,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_mean",5,310951,314725,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_median",5,310494,314271,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_stddev",5,914.6,919.233,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_mean",5,1.28318e+06,1.29997e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_median",5,1.28558e+06,1.30252e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_stddev",5,20525.1,21070,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/262144/manual_time_mean",5,6.4314e+06,6.57751e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/262144/manual_time_median",5,6.42855e+06,6.57706e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/262144/manual_time_stddev",5,44076.6,44080.3,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_mean",5,3.851e+07,3.93037e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_median",5,3.85409e+07,3.93578e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/1048576/manual_time_stddev",5,97503.1,100852,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_mean",5,1.51245e+08,1.60585e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_median",5,1.51422e+08,1.60705e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/4194304/manual_time_stddev",5,398444,362395,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_mean",5,6.05814e+08,6.41891e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_median",5,6.02728e+08,6.37846e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_vector_Rev_vector/16777216/manual_time_stddev",5,1.02575e+07,9.83543e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1/manual_time_mean",5,95.448,130.849,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1/manual_time_median",5,95.3988,130.778,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1/manual_time_stddev",5,0.157601,0.199767,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4/manual_time_mean",5,151.494,188.53,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4/manual_time_median",5,151.244,188.226,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4/manual_time_stddev",5,0.542062,0.680697,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16/manual_time_mean",5,343.136,381.191,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16/manual_time_median",5,343.021,381.123,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16/manual_time_stddev",5,0.345945,0.462943,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/64/manual_time_mean",5,1125.53,1169.87,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/64/manual_time_median",5,1125.51,1170.01,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/64/manual_time_stddev",5,3.72843,3.81887,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/256/manual_time_mean",5,4258.04,4374.16,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/256/manual_time_median",5,4260.43,4377.96,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/256/manual_time_stddev",5,18.8302,20.0815,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1024/manual_time_mean",5,16616.5,16902.6,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1024/manual_time_median",5,16587.7,16875.9,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1024/manual_time_stddev",5,83.7223,86.2961,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4096/manual_time_mean",5,66695.4,67447.5,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4096/manual_time_median",5,66634,67382.7,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4096/manual_time_stddev",5,199.128,206.556,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16384/manual_time_mean",5,272384,275967,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16384/manual_time_median",5,272392,275994,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16384/manual_time_stddev",5,964.215,973.614,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/65536/manual_time_mean",5,1.09357e+06,1.10971e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/65536/manual_time_median",5,1.09276e+06,1.10888e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/65536/manual_time_stddev",5,2220.05,2320.5,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/262144/manual_time_mean",5,5.26477e+06,5.41213e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/262144/manual_time_median",5,5.27077e+06,5.41681e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/262144/manual_time_stddev",5,14385.1,15343.7,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_mean",5,2.81745e+07,3.11417e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_median",5,2.8174e+07,3.11378e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/1048576/manual_time_stddev",5,69954.5,70686,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_mean",5,1.12434e+08,1.22012e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_median",5,1.12047e+08,1.21617e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/4194304/manual_time_stddev",5,1.3337e+06,1.40782e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16777216/manual_time_mean",5,4.41056e+08,4.76701e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16777216/manual_time_median",5,4.4131e+08,4.76715e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Prim_vector/16777216/manual_time_stddev",5,1.0067e+06,1.17856e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1/manual_time_mean",5,211.819,262.991,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1/manual_time_median",5,211.743,262.84,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1/manual_time_stddev",5,0.506281,0.675558,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4/manual_time_mean",5,268.227,322.134,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4/manual_time_median",5,268.158,322.099,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4/manual_time_stddev",5,0.478409,0.34623,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16/manual_time_mean",5,580.881,651.327,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16/manual_time_median",5,581.018,651.391,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16/manual_time_stddev",5,1.78204,2.06901,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/64/manual_time_mean",5,1676.51,1761.18,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/64/manual_time_median",5,1677.73,1761.93,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/64/manual_time_stddev",5,7.40214,8.35679,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/256/manual_time_mean",5,6035.3,6241.58,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/256/manual_time_median",5,6032.87,6240.33,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/256/manual_time_stddev",5,46.5365,48.3545,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1024/manual_time_mean",5,23515,23972.5,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1024/manual_time_median",5,23497.8,23955.9,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1024/manual_time_stddev",5,106.899,109.02,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4096/manual_time_mean",5,97656.7,99372.2,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4096/manual_time_median",5,97645.9,99356.8,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4096/manual_time_stddev",5,148.754,154.256,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16384/manual_time_mean",5,395882,403268,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16384/manual_time_median",5,395979,403468,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16384/manual_time_stddev",5,726.545,740.176,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/65536/manual_time_mean",5,1.68929e+06,1.73287e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/65536/manual_time_median",5,1.68775e+06,1.73102e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/65536/manual_time_stddev",5,5086.49,5354.13,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/262144/manual_time_mean",5,1.30554e+07,1.33889e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/262144/manual_time_median",5,1.30693e+07,1.34048e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/262144/manual_time_stddev",5,46967.7,51190.6,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1048576/manual_time_mean",5,5.3121e+07,5.81091e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1048576/manual_time_median",5,5.31288e+07,5.815e+07,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/1048576/manual_time_stddev",5,109236,106481,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4194304/manual_time_mean",5,2.05382e+08,2.25215e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4194304/manual_time_median",5,2.055e+08,2.25114e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/4194304/manual_time_stddev",5,519361,472712,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16777216/manual_time_mean",5,8.26874e+08,9.00595e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16777216/manual_time_median",5,8.1516e+08,8.88628e+08,ns,,,,,
"cauchy_lpdf_Prim_real_Rev_vector_Rev_vector/16777216/manual_time_stddev",5,1.6685e+07,1.71308e+07,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1/manual_time_mean",5,59.8185,84.5768,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1/manual_time_median",5,59.7746,84.4832,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,0.339617,0.441774,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4/manual_time_mean",5,97.6893,122.457,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4/manual_time_median",5,97.5683,122.328,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.439189,0.56088,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16/manual_time_mean",5,254.436,279.138,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16/manual_time_median",5,254.463,279.145,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.697976,0.744871,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/64/manual_time_mean",5,873.247,897.916,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/64/manual_time_median",5,873.633,898.252,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,0.891422,0.950277,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/256/manual_time_mean",5,3360.98,3385.57,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/256/manual_time_median",5,3361.83,3386.52,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,10.5638,10.6349,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,13103.8,13140.7,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1024/manual_time_median",5,13109.3,13146.8,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,25.2514,25.0609,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,52503.3,52546.9,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4096/manual_time_median",5,52448.6,52489.6,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,113.807,113.77,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,211919,211958,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16384/manual_time_median",5,211797,211830,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,816.324,810.472,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,852153,852171,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/65536/manual_time_median",5,852637,852653,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,2773.5,2794.17,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,3.44468e+06,3.44471e+06,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/262144/manual_time_median",5,3.43939e+06,3.43922e+06,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,12411.5,12499.7,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,1.50063e+07,1.50061e+07,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,1.49959e+07,1.4995e+07,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,27539.3,27598.4,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,6.71131e+07,6.71121e+07,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,6.70762e+07,6.70735e+07,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,125876,125946,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,2.65533e+08,2.65527e+08,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,2.65733e+08,2.65732e+08,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,495251,492170,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Rev_vector/1/manual_time_mean",5,152.112,188.755,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Rev_vector/1/manual_time_median",5,152.032,188.658,ns,,,,,
"cauchy_lpdf_Rev_real_Prim_vector_Rev_vector/1/manual_time_stddev",5,0.280617,0.360542,ns,,,,,
