name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,38.8979,62.4339,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,39.2085,62.8215,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,0.86747,1.20447,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,54.2549,77.3694,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,54.2807,77.3908,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.125986,0.13498,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,106.869,130.041,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,106.95,130.168,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,0.293981,0.301005,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,335.746,358.906,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,335.852,358.93,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,0.744018,0.79265,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,1220.09,1243.18,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,1219.86,1242.89,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,4.20354,4.20896,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,4751.63,4775.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,4755,4778.87,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,8.00289,7.81355,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,18970.3,19015.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,18959.9,19005.2,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,31.8664,32.1728,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,76046.6,76092.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,76057.8,76105.7,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,109.156,108.493,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,304632,304679,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,303959,304010,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,1199.26,1195.81,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,1.21498e+06,1.215e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,1.21396e+06,1.21403e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,3445.54,3409.09,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,4.97463e+06,4.97493e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,4.96555e+06,4.96595e+06,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,31087.8,31037.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,2.02615e+07,2.02567e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,2.02707e+07,2.02717e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,80104.9,77169.9,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,8.07806e+07,8.07703e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,8.05801e+07,8.05813e+07,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,358239,346264,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,72.7797,98.2689,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,69.993,94.8675,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,5.65448,6.79299,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,95.2775,121.444,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,92.7721,118.396,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,7.09868,8.32092,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,175.86,201.492,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,175.781,201.483,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,4.80207,5.4381,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,519.1,544.275,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,518.974,544.153,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,12.7844,13.3714,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,1882.51,1907.28,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,1882.07,1906.82,ns,,,,,
