name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,44.5537,67.9064,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,43.9513,67.0379,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,1.20976,1.71227,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,78.32,101.398,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,78.2394,101.321,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,0.2372,0.283128,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,214.141,237.217,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,214.383,237.48,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,0.451649,0.4851,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,779.069,802.125,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,779.217,802.261,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,0.923509,0.972005,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,2981.74,3004.66,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,2980.71,3003.67,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,7.95474,8.08665,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,11823.9,11862.4,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,11826.2,11863.6,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,14.4454,12.3538,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,47309.2,47353.8,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,47289.4,47333,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,87.0782,86.2727,ns,,,,,
"cauchy_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,188185,188246,ns,,,,,
