name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_mean",5,52.1344,75.4884,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_median",5,51.4637,74.6016,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_stddev",5,1.71931,2.26905,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_mean",5,71.3132,94.2934,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_median",5,71.2952,94.2457,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_stddev",5,0.139013,0.18417,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_mean",5,143.694,166.626,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_median",5,143.922,166.863,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_stddev",5,0.513773,0.58485,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_mean",5,456.295,479.176,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_median",5,458.631,481.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_stddev",5,5.94379,5.97787,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_mean",5,1636.78,1659.49,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_median",5,1638.88,1661.39,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_stddev",5,13.0823,13.1368,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_mean",5,6363.41,6389.57,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_median",5,6361.82,6387.82,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_stddev",5,15.8817,16.9,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_mean",5,25582.2,25627.4,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_median",5,25589.8,25636.6,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_stddev",5,139.91,140.397,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_mean",5,101443,101488,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_median",5,101458,101503,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_stddev",5,175.924,175.442,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_mean",5,407809,407875,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_median",5,407743,407812,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/65536/manual_time_stddev",5,886.286,880.873,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_mean",5,1.63199e+06,1.63202e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_median",5,1.62658e+06,1.62666e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/262144/manual_time_stddev",5,10554.6,10521.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_mean",5,6.75179e+06,6.7521e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_median",5,6.7464e+06,6.74668e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/1048576/manual_time_stddev",5,25665.7,25820.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_mean",5,2.82366e+07,2.8237e+07,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_median",5,2.82546e+07,2.8254e+07,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/4194304/manual_time_stddev",5,102491,102246,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_mean",5,1.13183e+08,1.13181e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_median",5,1.13089e+08,1.13083e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_real/16777216/manual_time_stddev",5,383261,386123,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_mean",5,82.0502,106.682,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_median",5,81.9749,106.611,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1/manual_time_stddev",5,0.245182,0.276789,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4/manual_time_mean",5,104.403,129.07,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4/manual_time_median",5,104.323,129.012,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4/manual_time_stddev",5,0.554046,0.634294,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16/manual_time_mean",5,177.386,202.01,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16/manual_time_median",5,177.541,202.208,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16/manual_time_stddev",5,0.340615,0.387337,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/64/manual_time_mean",5,482.926,507.521,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/64/manual_time_median",5,483.511,508.105,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/64/manual_time_stddev",5,1.71595,1.66965,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/256/manual_time_mean",5,1646.76,1671.26,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/256/manual_time_median",5,1649.9,1674.29,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/256/manual_time_stddev",5,5.38805,5.34305,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1024/manual_time_mean",5,7544.35,7568.95,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1024/manual_time_median",5,7551.65,7575.96,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1024/manual_time_stddev",5,15.408,15.7259,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4096/manual_time_mean",5,29602.1,29630.2,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4096/manual_time_median",5,29613.8,29642.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/4096/manual_time_stddev",5,119.243,120.231,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16384/manual_time_mean",5,117688,117724,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16384/manual_time_median",5,117554,117588,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/16384/manual_time_stddev",5,403.968,404.898,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/65536/manual_time_mean",5,471813,471850,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/65536/manual_time_median",5,471402,471448,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/65536/manual_time_stddev",5,897.316,900.014,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/262144/manual_time_mean",5,1.88521e+06,1.88509e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/262144/manual_time_median",5,1.88298e+06,1.88293e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/262144/manual_time_stddev",5,4251.89,4285.18,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1048576/manual_time_mean",5,8.7415e+06,8.74088e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_real/1048576/manual_time_median",5,8.73634e+06,8.73561e+06,ns,,,,,
