name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_mean",5,68.5566,91.8131,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_median",5,67.4064,90.3079,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_stddev",5,2.68372,3.35511,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_mean",5,136.468,159.333,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_median",5,136.425,159.356,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.52689,0.579489,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_mean",5,419.824,442.672,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_median",5,419.273,442.129,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.71683,1.74035,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_mean",5,1561.24,1584.15,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_median",5,1558.63,1581.72,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_stddev",5,6.5965,6.66522,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_mean",5,6005.75,6029.42,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_median",5,5999.99,6023.38,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_stddev",5,11.533,11.8489,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_mean",5,23848.2,23878.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_median",5,23830.7,23859.5,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_stddev",5,52.7178,53.2867,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_mean",5,95082.2,95126,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_median",5,95030.3,95074.7,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_stddev",5,118.967,116.644,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_mean",5,382062,382028,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_median",5,382074,382148,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_stddev",5,2228.89,2264.28,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_mean",5,1.53286e+06,1.53243e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_median",5,1.53381e+06,1.53371e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_stddev",5,3305.1,2935.74,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_mean",5,6.19127e+06,6.1914e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_median",5,6.18589e+06,6.18607e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_stddev",5,24630.9,24580.2,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_mean",5,2.62166e+07,2.62169e+07,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_median",5,2.60754e+07,2.60756e+07,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,200316,200955,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.12402e+08,1.12387e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.12055e+08,1.12029e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,719635,715599,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_mean",5,4.46547e+08,4.46378e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_median",5,4.47099e+08,4.4696e+08,ns,,,,,
"chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,1.30111e+06,1.3309e+06,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_mean",5,127.475,162.813,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_median",5,127.418,162.751,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_stddev",5,0.294534,0.374699,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/4/manual_time_mean",5,248.837,285.584,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/4/manual_time_median",5,248.729,285.565,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/4/manual_time_stddev",5,0.403054,0.420437,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/16/manual_time_mean",5,713.783,751.734,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/16/manual_time_median",5,712.833,750.64,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/16/manual_time_stddev",5,1.68423,1.85497,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/64/manual_time_mean",5,2534.62,2578.96,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/64/manual_time_median",5,2526.89,2570.77,ns,,,,,
"chi_square_lpdf_Prim_vector_Rev_vector/64/manual_time_stddev",5,19.0486,19.4611,ns,,,,,
