name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,50.4977,74.643,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,49.2089,73.0056,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,3.70933,4.8551,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,68.9098,92.5115,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,67.1021,90.3495,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3.24776,3.86239,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,156.509,179.734,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,155.759,178.991,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.17876,1.28618,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,533.825,557.09,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,533.242,556.475,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.17188,1.22843,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,2064.25,2087.42,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,2063.6,2086.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,5.43175,5.48443,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,8035.42,8059.89,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,8031.82,8057.33,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,18.4319,18.0259,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,31914.9,31952.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,31905.9,31944.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,125.134,124.706,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,129430,129481,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,129296,129347,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,597.313,600.186,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,505276,505309,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,506667,506736,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,2532.84,2531.63,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,2.04825e+06,2.04777e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,2.04601e+06,2.04484e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,39081.8,39099.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,8.75977e+06,8.7588e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,8.68421e+06,8.68437e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,148554,146821,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,4.42069e+07,4.4195e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,4.41105e+07,4.40823e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,295380,302164,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,1.71893e+08,1.71847e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,1.71376e+08,1.71284e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,1.32485e+06,1.35083e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,90.1678,125.853,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,89.9448,125.491,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.520961,0.674755,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,133.064,170.408,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,131.571,168.481,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,2.73686,3.36849,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,273.801,312.504,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,272.175,310.655,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,2.93696,3.25361,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,868.258,913.079,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,869.07,913.913,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,5.2421,5.76912,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,3330.85,3448.79,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,3325.83,3444.56,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,14.8794,16.1606,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,12949,13225.6,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,12943.4,13218.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,63.3281,61.5287,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,52381.6,53130,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,52321.7,53050.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,257.944,263.37,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,216880,220482,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,216441,220065,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,1112.41,1069.32,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,874545,890653,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,874204,890180,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,1547.27,1563.26,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,4.55256e+06,4.69781e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,4.55352e+06,4.69822e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,11559.9,13223.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,2.84782e+07,2.92303e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,2.84225e+07,2.91681e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,118864,123691,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,1.07325e+08,1.17482e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,1.07198e+08,1.17345e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,425010,339354,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,4.23621e+08,4.60861e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,4.23254e+08,4.60462e+08,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,665570,879014,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,54.7965,79.5626,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,54.8139,79.5884,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,0.150802,0.214847,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,75.503,100.216,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,75.5222,100.239,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,0.247928,0.290704,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,177.193,201.951,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,177.156,201.934,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,0.59567,0.619366,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,637.876,662.64,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,637.288,661.983,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,3.92112,4.02283,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,2504.84,2529.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,2483.74,2508.5,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,46.1415,46.7135,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,9701.99,9727.73,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_median",5,9706.38,9731.91,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_stddev",5,28.2958,28.6919,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_mean",5,38606.2,38638.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_median",5,38584.4,38617.7,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_stddev",5,88.4151,88.6367,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_mean",5,154393,154426,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_median",5,154336,154372,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16384/manual_time_stddev",5,312.995,313.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_mean",5,616705,616715,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_median",5,616333,616365,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/65536/manual_time_stddev",5,1636.36,1622.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_mean",5,2.44757e+06,2.4475e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_median",5,2.44551e+06,2.44526e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/262144/manual_time_stddev",5,4255.81,4317.73,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_mean",5,1.03031e+07,1.0303e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_median",5,1.03078e+07,1.03081e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/1048576/manual_time_stddev",5,43217.1,43213.2,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_mean",5,5.03495e+07,5.03501e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_median",5,5.03108e+07,5.03109e+07,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/4194304/manual_time_stddev",5,178885,178008,ns,,,,,
"double_exponential_lpdf_Prim_real_Rev_real_Prim_vector/16777216/manual_time_mean",5,1.98419e+08,1.98415e+08,ns,,,,,
