name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,34.1072,57.5907,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,33.2879,56.4272,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,1.15191,1.67252,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,36.8553,59.9693,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,36.8244,59.932,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.128349,0.1934,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,44.5212,67.5921,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,44.5123,67.578,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,0.0332142,0.0434264,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,86.223,109.32,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,86.2193,109.311,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,0.0768015,0.0979217,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,242.163,265.317,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,243.286,266.379,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,2.9496,3.1047,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,861.946,885.024,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,861.843,884.846,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,2.15002,2.21668,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,3464.8,3492.1,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,3462.01,3489.38,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,12.1704,12.2939,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,14625.8,14652.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,14628.7,14655.3,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,17.1534,17.3229,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,58901,58952,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,58898.1,58945.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,121.723,121.479,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,235120,235167,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,235453,235501,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,547.814,546.494,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,1.11497e+06,1.11538e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,1.11044e+06,1.11087e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,21789.2,21765.7,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,5.49514e+06,5.49564e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,5.49765e+06,5.49825e+06,ns,,,,,
