name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,61.9039,85.493,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,62.7654,86.3987,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,1.81448,2.16167,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,77.9001,101.046,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,77.926,101.077,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.085976,0.0939679,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,179.268,202.409,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,178.972,202.103,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.01306,1.09072,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,598.428,621.42,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,597.871,620.856,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,1.39933,1.39408,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,2256.03,2278.92,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,2254.61,2277.51,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,3.17296,3.12107,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,8759.53,8785.02,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,8769.51,8795.35,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,23.6945,23.5467,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,35327.4,35364.4,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,35330,35367.9,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,38.7817,38.3395,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,141999,142056,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,141782,141838,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,520.29,517.91,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,585902,585948,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,582759,582806,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,14085.5,14084.8,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,2.36777e+06,2.36784e+06,ns,,,,,
"double_exponential_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,2.35578e+06,2.35608e+06,ns,,,,,
