name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,50.9914,74.4599,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,49.6939,72.7084,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,3.11001,4.0905,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,71.5192,94.5459,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,71.3655,94.3598,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,0.429143,0.494775,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,169.69,192.638,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,169.672,192.613,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,0.243931,0.272027,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,586.783,609.82,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,586.642,609.713,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,1.3197,1.28487,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,2228.09,2250.99,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,2227.07,2249.96,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,4.68923,4.66324,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,8651.44,8679.99,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,8652.59,8683.06,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,14.0526,13.9867,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,34748.5,34790.8,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,34759.1,34799.9,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,43.3092,40.6638,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,139856,139910,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,139776,139826,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,303.451,302.909,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,558863,558909,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,558939,559002,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,842.7,829.435,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,2.27604e+06,2.27624e+06,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,2.27701e+06,2.27726e+06,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,3829.91,3864.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,1.00977e+07,1.00981e+07,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,1.00873e+07,1.00874e+07,ns,,,,,
