name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,34.6479,58.032,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,34.1332,57.2638,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,1.00036,1.48138,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,38.3058,61.4181,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,38.2895,61.403,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.0492269,0.0832026,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,53.0062,76.1292,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,53.0117,76.1784,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,0.118163,0.146648,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,124.966,148.101,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,124.996,148.113,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,0.12119,0.116422,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,387.411,410.52,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,387.76,410.943,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,0.691313,0.734364,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,1426.13,1449.26,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,1427.62,1450.69,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,3.61151,3.68488,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,6285.02,6312.31,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,6279.73,6307.26,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,16.8252,17.0772,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,25287.1,25337.2,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,25268,25318.3,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,79.937,79.8933,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,103278,103327,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,103187,103237,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,268.396,268.628,ns,,,,,
