name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,50.7001,74.5677,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,49.3727,72.8266,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,2.0758,2.78424,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,73.532,96.9574,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,73.5236,96.9256,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.0658202,0.0904928,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,184.226,207.748,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,182.735,206.165,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,3.88994,4.19232,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,644.091,667.48,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,644.691,668.142,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,2.11829,2.14676,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,2457.61,2481.16,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,2451.01,2474.47,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,10.6237,10.7934,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,9528.04,9561.71,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,9524.7,9557.37,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,23.1606,23.1126,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,38742.2,38792.1,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,38721.7,38775.5,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,96.4381,95.8989,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,156995,157054,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,156690,156752,ns,,,,,
"double_exponential_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,446.914,450.756,ns,,,,,
