name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,88.2496,111.629,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,86.7934,109.881,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,3.0714,3.708,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,131.521,154.404,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,131.46,154.407,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.25283,0.256296,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,356.369,379.248,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,356.133,379.016,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,0.948999,1.03002,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,1071.87,1094.67,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,1071.16,1094.11,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,4.26045,4.33212,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,4146.25,4169.01,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,4143.66,4166.35,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,7.09722,6.90362,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,16738.8,16768.2,ns,,,,,
