name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,92.4338,115.831,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,91.0066,114.147,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,3.70136,4.34971,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,157.959,180.895,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,157.533,180.436,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.990442,1.07967,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,417.814,440.706,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,417.435,440.298,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.814182,0.868777,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,1468.47,1491.36,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,1468.32,1491.34,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3.9363,3.99606,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,5700.71,5725.44,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,5693.72,5719.32,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,18.537,17.7319,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,23273.9,23317.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,23259,23303.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,143.45,142.263,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,100490,100534,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,100475,100520,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,112.128,108.084,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,432672,432709,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,432645,432692,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,884.293,886.543,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,1.78751e+06,1.78756e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,1.78846e+06,1.78857e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,6092.63,6070.66,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,7.56118e+06,7.56162e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,7.54373e+06,7.54431e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,59530.9,59645.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,3.1458e+07,3.14568e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,3.13572e+07,3.13556e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,195382,195748,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.16408e+08,1.16402e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.16509e+08,1.16508e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,314186,320751,ns,,,,,
