name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,110.869,134.396,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,109.52,132.903,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,5.04131,5.71142,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,163.006,185.704,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,163.173,185.844,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,0.487343,0.525196,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,391.972,414.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,391.817,414.501,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,0.404337,0.379425,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,1342.58,1365.14,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,1342.11,1364.67,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,2.34407,2.34048,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,5162.35,5184.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,5155.65,5178.25,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,13.9829,13.9925,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,20536.7,20564.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,20814.4,20840.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,473.012,469.821,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,82698.9,82726.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,82533,82560.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,292.659,290.662,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,395945,395984,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,396237,396225,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,1060.3,1043.32,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,1.55032e+06,1.55015e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,1.54683e+06,1.54668e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,8109.57,8038.35,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,6.72468e+06,6.72368e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,6.72766e+06,6.72702e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,12607.3,12455.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,2.88568e+07,2.88484e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,2.88725e+07,2.88694e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,80818.2,72933,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.19151e+08,1.1911e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,1.18794e+08,1.18797e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,807348,796872,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.5749e+08,4.57345e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,4.56793e+08,4.56564e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_stddev",5,2.95278e+06,3.00473e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1/manual_time_mean",5,181.346,217.325,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1/manual_time_median",5,181.583,217.365,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1/manual_time_stddev",5,2.50512,2.43756,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4/manual_time_mean",5,272.753,310.173,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4/manual_time_median",5,271.552,308.879,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4/manual_time_stddev",5,2.61256,3.01347,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16/manual_time_mean",5,616.255,654.604,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16/manual_time_median",5,619.361,657.643,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16/manual_time_stddev",5,5.00833,5.25232,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/64/manual_time_mean",5,1969.84,2014.17,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/64/manual_time_median",5,1969.44,2013.43,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/64/manual_time_stddev",5,2.93778,3.0014,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/256/manual_time_mean",5,8698.1,8819.72,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/256/manual_time_median",5,8636.19,8754.22,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/256/manual_time_stddev",5,189.17,192.567,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1024/manual_time_mean",5,31757.6,32031.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1024/manual_time_median",5,31405.1,31682.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1024/manual_time_stddev",5,720.559,718.151,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4096/manual_time_mean",5,129695,130465,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4096/manual_time_median",5,128988,129762,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4096/manual_time_stddev",5,2077.74,2078.26,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16384/manual_time_mean",5,553937,557625,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16384/manual_time_median",5,554147,557839,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/16384/manual_time_stddev",5,980.85,973.491,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/65536/manual_time_mean",5,2.23424e+06,2.25177e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/65536/manual_time_median",5,2.23236e+06,2.24988e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/65536/manual_time_stddev",5,5256.81,5323.87,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/262144/manual_time_mean",5,1.02975e+07,1.04392e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/262144/manual_time_median",5,1.028e+07,1.04231e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/262144/manual_time_stddev",5,51616.7,54304,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_mean",5,5.6146e+07,5.70252e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_median",5,5.60908e+07,5.69622e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_stddev",5,140969,150141,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_mean",5,2.00327e+08,2.10572e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_median",5,1.98556e+08,2.08648e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_stddev",5,4.06719e+06,4.02831e+06,ns,,,,,
