name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,106.979,130.886,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,101.715,125.018,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,8.03892,9.14959,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,149.587,172.763,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,149.653,172.872,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.428452,0.472459,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,346.434,369.537,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,346.515,369.639,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,0.651849,0.662965,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,1142.05,1165.14,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,1142.82,1165.95,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,1.97286,1.97769,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,4397.86,4421.37,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,4398.52,4421.45,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,12.6542,11.8883,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,17478.2,17511,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,17732.2,17766.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,372.379,375.21,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,70845.8,70886.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,70784.1,70821.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,189.717,191.014,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,360073,360146,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,359741,359822,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,1453.46,1450.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,1.39162e+06,1.39161e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,1.39077e+06,1.39086e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,2661.35,2655.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,6.14484e+06,6.14526e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,6.15569e+06,6.15603e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,28471.8,28478.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,2.58647e+07,2.58651e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,2.59007e+07,2.59009e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,76372.7,75542.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.0432e+08,1.04316e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,1.04348e+08,1.04346e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,220172,224072,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,4.05824e+08,4.05789e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,4.05712e+08,4.05702e+08,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,747050,699001,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,143.514,168.135,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,143.436,168.064,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,0.189054,0.220104,ns,,,,,
