name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,110.687,134.575,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,109.323,132.914,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,4.18738,4.84652,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,177.948,201.207,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,177.982,201.247,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.526829,0.532985,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,446.711,469.988,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,446.366,469.609,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,2.21503,2.27388,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,1536.02,1559.22,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,1536.11,1559.29,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,3.81289,3.73516,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,5936.29,5960.66,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,5938.81,5966.76,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,11.6499,12.3257,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,24787,24822.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,24526.7,24557,ns,,,,,
"exp_mod_normal_lpdf_Prim_real_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,501.847,502.39,ns,,,,,
