name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_mean",5,86.9756,110.686,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_median",5,85.935,109.426,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1/manual_time_stddev",5,3.39704,3.99083,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_mean",5,124.395,147.524,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_median",5,124.41,147.496,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4/manual_time_stddev",5,0.351971,0.376868,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_mean",5,298.82,321.885,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_median",5,299.017,321.998,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16/manual_time_stddev",5,0.662481,0.713324,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_mean",5,931.064,954.013,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_median",5,930.216,953.217,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/64/manual_time_stddev",5,3.80737,3.82234,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_mean",5,3554.31,3579.91,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_median",5,3547.04,3573.65,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/256/manual_time_stddev",5,15.179,15.7044,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_mean",5,14436.1,14469.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_median",5,14420.7,14455.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/1024/manual_time_stddev",5,39.8551,39.4183,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_mean",5,57168.2,57206,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_median",5,57179.5,57219.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/4096/manual_time_stddev",5,104.332,101.543,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_mean",5,229788,229836,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_median",5,229945,229995,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/16384/manual_time_stddev",5,436.355,437.036,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_real_Prim_real/65536/manual_time_mean",5,1.1322e+06,1.13219e+06,ns,,,,,
