name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,106.959,130.708,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,104.628,128.146,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,6.00084,6.78279,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,152.1,175.273,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,152.135,175.31,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.364839,0.425152,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,348.03,371.18,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,347.784,370.922,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,0.951767,0.991304,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,1146.98,1170.01,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,1145.52,1168.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,2.50399,2.50423,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,4391.87,4414.67,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,4388.37,4411.25,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,9.57429,9.56913,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,17476.2,17505,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,17733.6,17764.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,385.288,384.956,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,69229.5,69270.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,69231.9,69271.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,219.931,220.395,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,357926,358014,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,358053,358163,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,557.669,560.945,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,1.40187e+06,1.40186e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,1.39864e+06,1.39875e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,6231.65,6208.51,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,6.14623e+06,6.14675e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,6.13792e+06,6.13828e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,23724,23684.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,2.60077e+07,2.60041e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,2.59538e+07,2.59536e+07,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,188841,182748,ns,,,,,
