name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,108.486,132.551,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,105.199,128.908,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,5.85813,6.61294,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,177.612,200.998,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,177.533,200.879,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.530892,0.589802,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,450.198,473.503,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,449.797,473.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.38699,1.43845,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,1540.28,1563.71,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,1532.31,1555.63,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,24.4367,24.7069,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,5942.11,5965.34,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,5938.07,5961.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,12.3319,12.4317,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,24760.5,24796.5,ns,,,,,
