name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,91.0908,114.524,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,91.6763,115.173,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,1.76805,2.13102,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,129.848,152.73,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,129.79,152.647,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.366425,0.406478,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,298.191,321.112,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,298.439,321.364,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,0.670966,0.702078,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,995.07,1017.97,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,984.421,1007.42,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,25.5162,25.4799,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,3721.6,3745.81,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,3719.87,3745.05,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,5.30569,4.54361,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,15256.2,15290.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,15142,15177.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,291.672,291.756,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,60286,60319.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,60211.3,60240.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,163.154,165.315,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,280239,280280,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,280327,280377,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,769.106,779.558,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,1.17543e+06,1.17546e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,1.17514e+06,1.17513e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,1372.55,1323.99,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,5.05328e+06,5.05368e+06,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,5.05243e+06,5.05276e+06,ns,,,,,
