2021-01-01 08:23:09
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.54, 1.40, 1.38
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,67.7809,91.4244,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,66.4719,89.581,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,4.04716,4.67843,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,126.096,149.182,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,126.025,149.048,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.214902,0.257117,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,380.591,403.739,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,380.889,404.12,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.792844,0.821945,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,1373.87,1396.95,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,1373.27,1396.36,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,2.11919,2.18253,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,5325.66,5348.49,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,5325.63,5348.59,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,9.97875,9.88867,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,21136.2,21170.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,21130.7,21165.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,11.8562,11.1223,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,84495.8,84537.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,84427.5,84471.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,254.808,254.003,ns,,,,,
