2021-01-01 08:37:39
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.32, 1.44, 1.37
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,65.727,89.1297,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,63.7047,86.6028,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,3.70041,4.66973,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,115.413,138.323,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,115.412,138.32,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.215077,0.233168,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,327.203,350.096,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,326.717,349.596,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,1.25791,1.27995,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,1153.2,1176.23,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,1150.55,1173.48,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,7.49261,7.602,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,4432.45,4455.36,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,4424.84,4447.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,14.0051,14.1186,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,17515.7,17547.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,17520.8,17552.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,45.2047,45.2555,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,69883.7,69920.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,69888.1,69921.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,149.389,148.384,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,279700,279726,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,279328,279343,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,1048.47,1053.57,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,1.11889e+06,1.1189e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,1.11828e+06,1.11833e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,3534.74,3525.62,ns,,,,,
