2021-01-01 08:52:10
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.36, 1.36, 1.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,70.8545,94.5103,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,69.0337,92.3762,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,4.17776,4.99407,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,146.776,169.965,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,146.731,169.895,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.295147,0.321041,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,460.358,483.499,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,460.145,483.251,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.44378,1.50276,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,1691.02,1714.09,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,1691.03,1714.11,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,4.53245,4.56879,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,6584.43,6608.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,6586.91,6610.72,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,20.2222,20.5001,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,26138.7,26174.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,26162.4,26197.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,49.0546,48.7504,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,104162,104203,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,104207,104249,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,184.827,185.691,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,417102,417145,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,416973,417010,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,1167.33,1162.57,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,1.67393e+06,1.67395e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,1.67305e+06,1.67313e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,7211.74,7235.02,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,6.67613e+06,6.6761e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,6.67699e+06,6.67698e+06,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,8481.96,8474.91,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,2.72015e+07,2.72018e+07,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,2.71865e+07,2.71878e+07,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,37901.8,37734.7,ns,,,,,
