name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,75.5963,99.1785,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,75.3106,98.7912,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,2.14575,2.63636,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,132.613,155.729,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,132.551,155.668,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.292114,0.325344,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,369.853,393.248,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,366.996,390.179,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,4.68305,5.00082,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,1284.68,1307.87,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,1282.32,1305.56,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,10.9182,11.0764,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,4993.8,5017.25,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,5004.44,5028.89,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,25.2019,26.3419,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,20416.3,20438.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,20890.6,20910.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,711.235,709.409,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,82910.3,82938,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,82893.8,82917.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,142.206,139.895,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,332987,332987,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,332502,332504,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,1554.09,1554.14,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,1.32514e+06,1.32499e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,1.32281e+06,1.32258e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,5512.82,5526.13,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,5.30643e+06,5.3056e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,5.30403e+06,5.30282e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,6759.99,6531.19,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,2.19555e+07,2.19531e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,2.19541e+07,2.19532e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,143391,141733,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,9.21528e+07,9.21485e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,9.21507e+07,9.21487e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,196740,196355,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,3.74865e+08,3.74854e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,3.64787e+08,3.64795e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,1.51844e+07,1.51865e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,97.3709,122.432,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,95.8219,120.582,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,2.95024,3.52975,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,155.192,180.254,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,155.118,180.148,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,1.0301,1.14065,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,417.459,442.383,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,415.62,440.465,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,3.24848,3.40797,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,1410.31,1435.09,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,1411.87,1436.64,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,7.68787,7.69901,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,5458.17,5483.07,ns,,,,,
