name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,83.7541,107.17,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,82.4272,105.738,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,2.92278,3.48795,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,162.283,185.221,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,162.337,185.299,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.35736,0.354182,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,472.986,495.77,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,473.376,495.923,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,0.736221,0.850388,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,1682.43,1705.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,1681.23,1703.99,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,6.48523,6.70834,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,6523.46,6546.97,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,6517.92,6541.74,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,34.8076,34.697,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,25632.1,25662.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,25626.4,25659.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,104.991,103.955,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,102451,102480,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,102240,102267,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,530.875,530.813,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,408516,408549,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,408348,408378,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,678.884,680.908,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,1.63709e+06,1.63705e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,1.63506e+06,1.63495e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,6259.87,6261.35,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,6.59565e+06,6.59549e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,6.5969e+06,6.5968e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,10143.7,10164.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,2.76763e+07,2.76755e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,2.77003e+07,2.76994e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,61407.2,60936.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.20739e+08,1.20734e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,1.20766e+08,1.20762e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,238333,236274,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,4.77226e+08,4.77181e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,4.77437e+08,4.7738e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,833103,831073,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,106.076,130.812,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,105.9,130.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,0.372825,0.427945,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_mean",5,199.721,224.443,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_median",5,199.609,224.302,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_stddev",5,0.480539,0.538485,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_mean",5,539.49,564.258,ns,,,,,
