2021-01-01 10:57:28
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.14, 1.68, 1.49
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,89.1061,113.775,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,91.556,116.899,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,6.57191,7.6903,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,186.886,210.437,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,186.547,210.134,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.891429,0.96478,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,613.199,637.258,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,614.194,638.068,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,18.881,19.5013,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,2253.1,2276.95,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,2247.31,2271.29,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,26.1988,26.4612,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,8769.41,8795.18,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,8726.1,8750.75,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,111.381,111.025,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,34289.7,34323.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,34218.3,34252,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,152.531,152.761,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,136634,136669,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,136526,136564,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,285.405,284.662,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,546773,546824,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,546564,546610,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,458.485,452.227,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,2.18952e+06,2.18941e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,2.18735e+06,2.18713e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,5365.92,5345.04,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,8.84782e+06,8.84812e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,8.85316e+06,8.85344e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,11224.3,11476.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,3.66568e+07,3.6656e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,3.64209e+07,3.64191e+07,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,467194,467306,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.56661e+08,1.56652e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.56749e+08,1.56738e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,333663,332874,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,6.21901e+08,6.21868e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,6.18785e+08,6.18799e+08,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,7.0538e+06,7.03849e+06,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_mean",5,142.556,177.974,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_median",5,142.515,177.902,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_stddev",5,0.213988,0.260023,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_mean",5,267.088,304.102,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_median",5,267.22,304.221,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_stddev",5,0.770497,0.857643,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_mean",5,720.83,758.861,ns,,,,,
