name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,61.3869,84.6988,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,60.8139,83.9193,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.90816,2.39172,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,80.7219,103.63,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,80.7614,103.677,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.136046,0.155668,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,157.251,180.136,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,156.558,179.364,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1.64153,1.76957,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,461.217,484.106,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,460.428,483.361,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1.65586,1.7068,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,1660.19,1683.15,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,1659.6,1682.58,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,3.22342,3.27193,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,6455.28,6482.74,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,6456.07,6483.42,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,10.3931,10.4993,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,25780.6,25823.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,25779.4,25823,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,120.553,120.288,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,102188,102231,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,102054,102096,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,396.915,395.523,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,411803,411764,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,411132,411195,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,3255.4,3341.92,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,1.65166e+06,1.65126e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,1.64572e+06,1.64565e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,11232.3,11225.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,6.78597e+06,6.7854e+06,ns,,,,,
