2021-01-01 11:41:34
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.65, 1.45, 1.38
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,60.7936,84.3383,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,60.4506,84.0352,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,1.39493,1.74201,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,114.162,137.344,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,114.058,137.243,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.404413,0.430426,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,328.093,351.242,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,327.761,350.846,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,2.27656,2.34362,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,1170.37,1193.43,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,1171.49,1194.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,3.81699,3.86334,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,4521.3,4544.45,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,4521.1,4544.31,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,13.012,13.1541,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,17919.8,17961.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,17902.5,17944.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,28.2957,28.3693,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,71730,71775.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,71585.6,71633.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,383.696,382.891,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,285767,285806,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,285777,285813,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,547.499,544.284,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,1.14728e+06,1.14729e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,1.14424e+06,1.14431e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,7927.38,7939.78,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,4.57881e+06,4.57865e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,4.57025e+06,4.56984e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,20440.6,20484.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,1.88192e+07,1.88186e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,1.87321e+07,1.87306e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,192908,192657,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,7.70114e+07,7.70057e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,7.68271e+07,7.68143e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,448117,451437,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,3.07564e+08,3.07532e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,3.07464e+08,3.07411e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,345587,330760,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,66.1195,90.7395,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_median",5,66.1741,90.8184,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_stddev",5,0.135907,0.177481,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_mean",5,125.847,150.636,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_median",5,125.473,150.202,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_stddev",5,1.0627,1.25668,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_mean",5,359.283,384.072,ns,,,,,
