2021-01-01 11:56:06
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.24, 1.30, 1.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,66.1146,89.3982,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,65.8609,89.0491,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,1.38315,1.70356,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,139.763,162.68,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,139.842,162.668,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.317142,0.315353,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,425.12,447.97,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,425.264,448.193,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.92555,1.94371,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,1568.71,1591.55,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,1571.24,1594.04,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,5.90398,5.90454,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,6106.81,6130.01,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,6105.63,6128.83,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,29.4324,29.6289,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,24312.1,24341.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,24196.4,24225.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,231.497,231.306,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,96607.2,96639.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,96564.2,96594.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,263.224,264.652,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,386731,386778,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,386495,386518,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,909.87,903.91,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,1.55522e+06,1.5552e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,1.54973e+06,1.54977e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,10276.7,10245.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,6.19391e+06,6.19349e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,6.18744e+06,6.18709e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,14393.4,14340.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,2.55925e+07,2.55919e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,2.56091e+07,2.56093e+07,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,55252.2,55026.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.03214e+08,1.03204e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.03269e+08,1.03254e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,255978,255138,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,4.12209e+08,4.12182e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_median",5,4.12062e+08,4.12043e+08,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,1.10073e+06,1.10429e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_mean",5,106.576,141.878,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_median",5,106.562,141.889,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1/manual_time_stddev",5,0.100765,0.159043,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_mean",5,198.694,235.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_median",5,198.674,235.366,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4/manual_time_stddev",5,0.280866,0.317956,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_mean",5,549.868,587.911,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_median",5,548.393,586.271,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16/manual_time_stddev",5,3.49388,3.76708,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_mean",5,1958.55,2002.79,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_median",5,1958.08,2002.09,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/64/manual_time_stddev",5,4.67905,4.60631,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_mean",5,7580.29,7706.18,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_median",5,7597.7,7722.61,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/256/manual_time_stddev",5,35.6516,34.8633,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_mean",5,29925.6,30199.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_median",5,29859.3,30142.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/1024/manual_time_stddev",5,128.781,117.484,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_mean",5,120225,120949,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_median",5,120255,120982,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/4096/manual_time_stddev",5,261.369,265.172,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_mean",5,487161,490796,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_median",5,486717,490358,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/16384/manual_time_stddev",5,1601.4,1611.72,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_mean",5,1.95259e+06,1.96849e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_median",5,1.95226e+06,1.96813e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/65536/manual_time_stddev",5,3222.71,3190.17,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/262144/manual_time_mean",5,8.33465e+06,8.46361e+06,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_vector/262144/manual_time_median",5,8.32562e+06,8.45413e+06,ns,,,,,
