2021-01-01 12:10:46
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.16, 1.90, 1.63
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,74.8914,98.4413,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,72.3077,95.364,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,6.25343,7.36837,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,92.6914,115.585,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,92.6442,115.511,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,0.083513,0.108678,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,167.994,190.964,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,167.363,190.318,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1.06531,1.11759,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,499.753,522.601,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,501.246,524.034,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,4.47639,4.47909,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,1781.42,1804.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,1782.28,1805.06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,2.84493,2.82193,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,7545.18,7568.67,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,8013.49,8036.81,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,684.832,684.398,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,31629.3,31662.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,31574.6,31607,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,110.924,110.192,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,127495,127541,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,127549,127594,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,216.057,213.427,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,511066,511108,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,511109,511159,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,1527.76,1522.88,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,2.04164e+06,2.04175e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,2.03718e+06,2.0373e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,7688.44,7709.36,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,9.20859e+06,9.20909e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,9.19757e+06,9.19825e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,43848.9,43893.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,4.23171e+07,4.23151e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,4.23375e+07,4.23329e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,103413,106179,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,1.62724e+08,1.62717e+08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,1.62986e+08,1.62952e+08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,395616,389142,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,78.3535,103.074,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,78.3433,103.025,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,0.125117,0.168767,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,102.05,126.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,101.92,126.621,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,0.314336,0.394824,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,182.95,207.782,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,182.895,207.708,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,0.276671,0.331638,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,527.741,552.434,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,531.027,555.705,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,7.19807,7.21526,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,1892.64,1917.75,ns,,,,,
