2021-01-01 12:25:21
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.29, 1.81, 1.84
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,78.1412,101.937,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,76.0336,99.3963,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,5.79829,6.85756,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,117.098,140.202,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,117.029,140.13,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,0.150901,0.176086,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,265.202,288.367,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,264.946,288.084,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,0.570917,0.621324,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,893.266,916.505,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,891.35,914.578,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,6.88576,7.04208,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,3377.7,3401.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,3379.82,3403.73,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,19.4357,19.8909,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,13050.6,13074.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,13057.1,13082.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,30.746,30.7891,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,52020.3,52053.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,52086.9,52120.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,276.219,274.896,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,212741,212792,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,211329,211385,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,3715.86,3708.01,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,847750,847792,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,849782,849812,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,5892.81,5879.12,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,3.44857e+06,3.44875e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,3.45311e+06,3.45339e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,10468.2,10575.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,1.51985e+07,1.51988e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,1.52289e+07,1.52298e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,88429.2,88385,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,7.08931e+07,7.08919e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,7.0885e+07,7.08824e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,98498.1,98120.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.78822e+08,2.78818e+08,ns,,,,,
