2021-01-01 12:40:00
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.97, 1.54, 1.56
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,81.4545,104.659,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,80.9438,104.032,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,1.70379,2.10849,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,156.214,179.125,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,156.24,179.162,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,0.17905,0.173214,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,471.354,494.343,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,470.487,493.513,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,2.54409,2.60121,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,1635.28,1658.14,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,1636.43,1659.31,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,3.34981,3.37919,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,6300.36,6323.07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,6286.7,6309.32,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,34.2997,34.3932,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,24854.8,24878.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,24785.3,24808.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,150.844,151.262,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,98973.3,99000.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,98968.4,98995.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,177.796,179.295,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,397267,397307,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,396690,396729,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,1034.17,1031.08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,1.5851e+06,1.58507e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,1.58649e+06,1.58648e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,3780.39,3797.52,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,6.40561e+06,6.40575e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,6.40358e+06,6.40374e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,11160.1,11269.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,2.76319e+07,2.76317e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,2.75895e+07,2.75896e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,179237,179613,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.19986e+08,1.19982e+08,ns,,,,,
