2021-01-01 12:54:41
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.58, 1.57, 1.57
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,86.926,111.088,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,83.3329,106.996,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,7.33171,8.4831,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,175.46,198.697,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,175.336,198.493,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.459536,0.473934,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,542.244,565.46,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,542.851,566.174,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,1.21927,1.16315,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,2018.15,2041.14,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,2012.59,2035.44,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,14.0342,14.2553,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,7854.71,7875.83,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,7851.48,7874.06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,16.5631,15.1563,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,31061.2,31082.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,31028.8,31038.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,106.59,99.0351,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,123939,123943,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,124128,124086,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,339.522,338.007,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,497033,496945,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,496537,496538,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,1411.97,1280.96,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,1.99247e+06,1.99172e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,1.99136e+06,1.99129e+06,ns,,,,,
