2021-01-01 13:23:58
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.46, 1.50, 1.46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,52.2412,75.6361,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,50.7845,73.7898,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,3.40072,4.25126,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,72.7905,95.6365,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,72.782,95.6412,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,0.088919,0.0839028,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,146.21,169.096,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,146.147,168.97,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,0.375822,0.462811,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,418.902,441.891,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,418.182,441.144,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,2.63074,2.75466,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,1563.14,1586.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,1561.8,1584.59,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,7.46357,7.59021,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,5939.12,5961.98,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,5977.77,6000.64,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,54.0112,53.8326,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,23955.6,23987.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,23833.2,23863.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,238.206,238.653,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,96199.1,96256.9,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,96311.1,96371.9,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,264.548,263.532,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,387069,387113,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,386979,387022,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,1084.7,1076.47,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,1.5667e+06,1.56673e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,1.56327e+06,1.5634e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,7596.35,7629.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,7.13972e+06,7.14016e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,7.11865e+06,7.1189e+06,ns,,,,,
