name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,71.412,94.7075,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,70.9385,94.1038,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,2.01831,2.54047,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,106.406,129.389,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,106.382,129.368,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,0.176082,0.198559,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,242.718,265.717,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,242.951,265.936,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,0.61227,0.667807,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,855.545,878.473,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,854.036,876.94,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3.17441,3.20193,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,3299.31,3321.83,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,3304.03,3326.81,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,10.0292,10.1111,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,12985,13009.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,12977.2,13003,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,22.0623,22.0395,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,52082.4,52118.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,52111.7,52149.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,106.43,105.62,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_mean",5,208243,208290,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_median",5,207845,207900,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16384/manual_time_stddev",5,789.404,794.571,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_mean",5,836610,836647,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_median",5,836133,836156,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/65536/manual_time_stddev",5,5448.21,5439.54,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_mean",5,3.35083e+06,3.35096e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_median",5,3.34996e+06,3.35025e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/262144/manual_time_stddev",5,5107.57,5161.87,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_mean",5,1.39249e+07,1.39254e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_median",5,1.39292e+07,1.393e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,29431,29249.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_mean",5,6.47644e+07,6.47631e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_median",5,6.47632e+07,6.47622e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,60151.3,58628.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_vector/16777216/manual_time_mean",5,2.57679e+08,2.57674e+08,ns,,,,,
